station_numbers,station_names,station_addresses,station_pos,station_capacities,status
61,BONREPOS,12 BD DE BONREPOS,"(1.452593, 43.611052)",40,OPEN
62,JAURES - STALINGRAD,81 ALLEE JEAN JAURES,"(1.453549, 43.609216)",24,OPEN
63,PISCINE LEO LAGRANGE,54 RUE DES SEPT TROUBADOURS,"(1.454329, 43.607468)",22,OPEN
64,PERI - MERCADIER,30 RUE GABRIEL PERI,"(1.455005, 43.606208)",24,OPEN
65,VERDIER - GRAND ROND,2 ALL FORAIN FRANCOIS VERDIER,"(1.452596, 43.596904)",27,OPEN
66,JARDIN ROYAL,RUE DU 8 MAI 1945 / FACE JARDIN ROYAL,"(1.45104, 43.596419)",23,OPEN
67,MUSEUM,35 ALL JULES GUESDE,"(1.449176, 43.594812)",22,OPEN
68,METRO - PALAIS DE JUSTICE,1 BIS ALLEE JULES GUESDE,"(1.444726, 43.592782)",16,OPEN
69,FEUGA,11 ALL PAUL FEUGA,"(1.442463, 43.592388)",18,OPEN
70,FER A CHEVAL,5 PLACE DU FER A CHEVAL,"(1.434121, 43.592366)",18,OPEN
71,COURS DILLON,3 RUE LAGANNE,"(1.435062, 43.593227)",22,OPEN
72,FITTE - CUGNAUX,23 ALL CHARLES DE FITTE,"(1.432503, 43.59522)",20,OPEN
73,FITTE - TEINTURIERS,40 ALLEE CHARLES DE FITTE,"(1.432158, 43.596294)",16,OPEN
74,LAGANNE - TEINTURIERS,37 RUE LAGANNE,"(1.436229, 43.596667)",18,OPEN
75,CHATEAU D'EAU,12 PLACE LAGANNE,"(1.436594, 43.59859)",21,OPEN
76,RECLUSANE - PL. OLIVIER,"PLACE OLIVIER, DEVANT N°1 RUE  RECLUSANE","(1.434043, 43.598478)",16,OPEN
77,PLACE INT - SAINT-CYPRIEN,2 PL INTERIEURE SAINT-CYPRIEN,"(1.431619, 43.59778)",13,OPEN
78,PLACE INT - SAINT-CYPRIEN - DARRE,14 PL INTERIEURE ST CYPRIEN,"(1.431382, 43.598124)",17,OPEN
79,PLACE LANGE,1 PL LANGE,"(1.434129, 43.601016)",20,OPEN
80,FITTE - VARSI,89B ALLEE CHARLES DE FITTE,"(1.429338, 43.599637)",23,OPEN
81,JARDIN RAYMOND VI,ALLEE CHARLES DE FITTE / FACE JARDIN RAYMOND VI,"(1.429521, 43.599797)",33,OPEN
82,SEJOURNE - CATALANS,1 AV PAUL SEJOURNE,"(1.428054, 43.605804)",21,OPEN
83,SEJOURNE - AMIDONNIERS,2 AV PAUL SEJOURNE,"(1.428225, 43.605687)",17,OPEN
84,BRIENNE - MANUFACTURE,19T ALL DE BRIENNE,"(1.432485, 43.605381)",24,OPEN
85,MARECHAL LECLERC,2 BD DU MARECHAL LECLERC,"(1.430615, 43.606847)",22,OPEN
86,HERACLES - BEARNAIS,23 RUE DU BEARNAIS,"(1.428585, 43.608004)",20,OPEN
87,LASCROSSES - LECLERC,47 BD LASCROSSES,"(1.432157, 43.609277)",25,OPEN
88,DUPORTAL - LASCROSSES,17T BD LASCROSSES,"(1.434974, 43.61009)",25,OPEN
89,ESP COMPANS-CAFFARELLI,1 ESP COMPANS-CAFFARELLI,"(1.436704, 43.611073)",22,OPEN
90,LASCROSSES - PLACE ARNAUD BERNARD,3B BD LASCROSSES,"(1.438093, 43.611271)",25,OPEN
91,ARCOLE - BALANCE,48 BD D'ARCOLE,"(1.439662, 43.611556)",21,OPEN
92,CHALETS,31 RUE DES CHALETS,"(1.441326, 43.613149)",15,OPEN
93,PRINTEMPS,57 RUE DU PRINTEMPS,"(1.443571, 43.614574)",17,OPEN
94,SEMARD GARE ROUTIERE,76 BD DE LA GARE,"(1.451158, 43.614083)",25,OPEN
95,THEATRE GARONNE,4 AV DU CHÂTEAU D'EAU,"(1.425347, 43.602426)",22,OPEN
96,MEDIATHEQUE,50 RUE DU GENERAL COMPANS,"(1.455212, 43.609757)",25,OPEN
97,RAYMOND IV,FACE AU 66 RUE RAYMOND IV,"(1.451558, 43.612475)",21,OPEN
98,PONT DES DEMOISELLES,80 ALL DES DEMOISELLES,"(1.459838, 43.58771)",22,OPEN
99,REMPART SAINT-ETIENNE,7 RUE DU REMPART ST ETIENNE,"(1.45065484986121, 43.6008250248339)",16,OPEN
100,PORT SAINT-SAUVEUR,16 ALL PAUL SABATIER,"(1.45564, 43.596652)",20,OPEN
101,CAPT PORT SAINT-SAUVEUR,5 PORT SAINT-SAUVEUR / ESPLANADE DE LA CAPITAINERIE,"(1.45588, 43.594493)",20,OPEN
102, MISTRAL - FLEURANCE,18 ALLEE FREDERIC MISTRAL,"(1.453066, 43.593567)",19,OPEN
103,SAINT-MICHEL - SAINTE-CATHERINE,139 GRANDE RUE SAINT-MICHEL,"(1.445247, 43.590655)",20,OPEN
104,MURET - RAPAS,219 AV DE MURET,"(1.431449, 43.589126)",18,OPEN
105,BILLIERE - CHAMPETRE,12  AV  ETIENNE  BILLIERES,"(1.428891, 43.597539)",19,OPEN
106,BRIENNE - PASSERELLE,99 ALL DE BRIENNE,"(1.423848, 43.608424)",21,OPEN
107,SEBASTOPOL,1 RUE DE SEBASTOPOL,"(1.430401, 43.60962)",27,OPEN
108,SEBASTOPOL - RITAY,40 RUE SEBASTOPOL,"(1.428827, 43.612279)",20,OPEN
109,METRO - CANAL DU MIDI,1 BD DE LA MARQUETTE,"(1.434944, 43.615275)",25,OPEN
110,CABANEL - SERRES,16 RUE ALEXANDRE CABANEL,"(1.437999, 43.614227)",18,OPEN
111,MINIMES - PASSERELLE,38B BD DES MINIMES,"(1.442937, 43.615273)",27,OPEN
112,PLACE RUSSELL - BRANLY,47 ALLEE BRANLY,"(1.453014, 43.585409)",20,OPEN
113,DUMERIL - LAMARCK,FACE 58 RUE DUMERIL,"(1.449015, 43.592349)",20,OPEN
114,MONTPLAISIR - CANAL,8 BD MONPLAISIR,"(1.457925, 43.592438)",20,OPEN
115,DEMOISELLES - MISTRAL,8 ALL DES DEMOISELLES,"(1.453224, 43.590692)",18,OPEN
116,SAINT-MICHEL - NOTRE DAME,50 GRANDE RUE SAINT-MICHEL,"(1.446446, 43.588178)",15,OPEN
117,BILLIERES - POSTE,39 AVENUE ETIENNE BILLIERES,"(1.426109, 43.596889)",20,OPEN
118,PLACE DU BUSCA,PLACE DU BUSCA / FACE ECOLE JEAN JAURES,"(1.451003, 43.588588)",17,OPEN
119,BRIENNE - CHAPOU,129 ALL DE BRIENNE,"(1.419568, 43.610005)",24,OPEN
120,BARCELONE - PONTS JUMEAUX,152 ALL DE BARCELONE,"(1.420407, 43.610343)",18,OPEN
121,SERRES - A.BERNARD,33 AV HONORE SERRES,"(1.438268, 43.612627)",17,OPEN
122,PASSERELLE HAEDENS,57 BD DE L EMBOUCHURE,"(1.430339, 43.613504)",19,OPEN
123,CHAUSSAS - EMBOUCHURE,1 RUE DE CHAUSSAS,"(1.432909, 43.61497)",23,OPEN
124,EGLISE DES MINIMES,27 AV DES MINIMES,"(1.436857, 43.618287)",19,OPEN
125,BARRIERE DE PARIS,FACE AU 2 BARRIERE DE PARIS,"(1.434129, 43.627017)",25,OPEN
126,ECOLE BONNEFOY,18 RUE BONNEFOY,"(1.454243, 43.616939)",22,OPEN
127,BEGUE - DEMOISELLES,1 RUE BEGUE,"(1.455967, 43.589802)",15,OPEN
128,PRISON SAINT-MICHEL,18 B GRANDE RUE ST MICHEL,"(1.447374, 43.58585)",23,OPEN
129,CROIX DE PIERRE,2 BD DEODAT DE SEVERAC,"(1.427853, 43.585732)",16,OPEN
130,BILLIERES - PATTE D OIE,66 TER AV ETIENNE BILLIERES,"(1.424382, 43.596716)",15,OPEN
131,BERNIES - ROUTE DE BLAGNAC,15 RUE PAUL BERNIES,"(1.414669, 43.611584)",19,OPEN
132,MINIMES - BAQUE,101 AVENUES DES MINIMES,"(1.434449, 43.622966)",19,OPEN
133,MARCHE AUX COCHONS,71 AV DES MINIMES,"(1.435612, 43.620693)",22,OPEN
134,EGLISE BONNEFOY,8 ALLEE DE L'EGLISE BONNEFOY,"(1.456759, 43.619031)",19,OPEN
135,BONNEFOY - LEMAITRE,179 RUE DU FAUBOURG BONNEFOY,"(1.458647, 43.622963)",18,OPEN
136,FONTAINES,FACE 175 RUE DES FONTAINES,"(1.414772, 43.60202)",15,OPEN
137,BRUNHES - FONTAINES,68 BD JEAN BRUNHES FACE AU 53,"(1.420165, 43.600473)",15,OPEN
138,BARRIERE DE BAYONNE,3 BD JEAN BRUNHES,"(1.420144, 43.597908)",20,OPEN
139,BARRIERE DE LOMBEZ,39 BIS AV DE LOMBEZ,"(1.418503, 43.595503)",25,OPEN
140,PLACE EMILE MALE,PLACE EMILE MALE,"(1.418768, 43.591661)",29,OPEN
141,FONTAINE LESTANG,237 RUE HENRI DESBALS,"(1.417918, 43.587389)",18,OPEN
142,LYCEE DEODAT DE SEVERAC,FACE AU 65 BD DEODAT DE SEVERAC,"(1.42436, 43.588046)",20,OPEN
143,DESBALS - SAINTONGE,PL GENEVIEVE ANTHONIOZ DE GAULLE / ANGLE RUE HENRY DESBALS,"(1.413607, 43.581384)",20,OPEN
144,SUISSE - LAUSANE,62 BD DE SUISSE,"(1.42163, 43.615988)",22,OPEN
145,GOUNOD - GARROS,29 RUE ROLAND GARROS,"(1.424953, 43.613881)",20,OPEN
146,SANG DE SERP - DAGNAUX,57 CHEMIN DU SANG DE SERP,"(1.428308, 43.61567)",20,OPEN
147,CHAUSSAS - DAUDET,96 RUE DE CHAUSSAS,"(1.429176, 43.619704)",20,OPEN
148,COLLIGNON,5 AV DE COLLIGNON,"(1.444112, 43.61657)",19,OPEN
149,RAISIN - MINIMES,FACE 2 CHEMIN DU RAISIN,"(1.448573, 43.61539)",22,OPEN
150,CURIE - CAMPISTRON,78 BD PIERRE ET MARIE CURIE,"(1.439513, 43.62563)",18,OPEN
151,CURIE - NEGRENEYS,27 BD PIERRE ET MARIE CURIE,"(1.443326, 43.624514)",24,OPEN
152,MAZADES,10 AV DES MAZADES,"(1.438463, 43.624114)",20,OPEN
153,BOURGES MAUNOURY,12 AV BOURGES MAUNOURY,"(1.448469, 43.628672)",18,OPEN
154,GALLOIS,50 M AVANT 4 RUE DES GALLOIS,"(1.441706, 43.589928)",20,OPEN
155,RECOLLETS,34 BD DES RECOLLETS,"(1.443299, 43.583787)",20,OPEN
156,METRO EMPALOT,38 AV JEAN MOULIN FACE DEBOUCHE RUE DE CANNES,"(1.44184, 43.579666)",18,OPEN
157,URSS - PEYROUSET,16 AV DE L'U.R.S.S,"(1.448578, 43.58295)",19,OPEN
158,URSS - SAINT-THOMAS D'AQUIN,57 AV DE L'URSS,"(1.449198, 43.580915)",20,OPEN
159,U.R.S.S DEVIC,96 AV JULES JULIEN,"(1.450234, 43.578572)",20,OPEN
160,THEATRE JULES JULIEN,21 AV DES ECOLES JULES JULIEN,"(1.452405, 43.57337)",17,OPEN
161,RANGUEIL - BEDOUCE,35 AV DE RANGUEIL,"(1.454742, 43.576773)",15,OPEN
162,PLACE D'ITALIE,FACE 49 AV D' ITALIE,"(1.45486, 43.580296)",17,OPEN
163,BEDOUCE - MIDI,115 AV ALBERT BEDOUCE,"(1.462341, 43.581506)",20,OPEN
164,BEDOUCE - SAOUZELONG,FACE 79 AV ALBERT BEDOUCE,"(1.460126, 43.579846)",20,OPEN
165,PLACE DES AVIONS,33 AVENUE DES AVIONS,"(1.460189, 43.57688)",15,OPEN
166,METRO RANGUEIL - GUYOU,23 RUE GUYOU,"(1.462367, 43.57421)",20,OPEN
167,LAPUJADE - FLANDRES,RUE LAPUJADE / ANGLE RUE DES FLANDRES,"(1.454685, 43.624202)",18,OPEN
168,PLACE BILA - ROUTE D'ALBI,FACE 3 PL BILA,"(1.458835, 43.626597)",20,OPEN
169,ROUTE D'ALBI - JAFFARY,65 RTE D'ALBI,"(1.463081, 43.632532)",17,OPEN
170,ROUTE D'ALBI - NICOL,FACE 163 CHE NICOL,"(1.464289, 43.635586)",17,OPEN
171,ROUTE D ALBI - PELET,191 RTE D'ALBI,"(1.466458, 43.641034)",18,OPEN
172,NETWILLER - LAFFORGUE,RD-PT DE L'ABBE LAFFORGUE ANGLE RUE HENRI EBELOT,"(1.461124, 43.642859)",20,OPEN
173,MAUNOURY - SEGLA,25 AV MAURICE BOURGES MAUNOURY,"(1.450638, 43.633171)",19,OPEN
174,MAUNOURY - MELAT,41 AV MAURICE BOURGES MAUNOURY,"(1.452615, 43.63694)",19,OPEN
175,METRO BORDEROUGE - MAUNOURY,FACE 52 AV BOURGES MAUNOURY,"(1.452569, 43.639633)",30,OPEN
176,GENERAL COMPANS,1 RUE DU GENERAL COMPANS,"(1.458143, 43.606701)",18,OPEN
177,BAILLAUD - BRUNAUD,64 RUE BAILLAUD,"(1.465428, 43.617458)",20,OPEN
178,BRUNAUD - PLANA,FACE 100 AV YVES BRUNAUD,"(1.468681, 43.619291)",20,OPEN
179,CASSAING - PLANA,5 CH CASSAING,"(1.473616, 43.616938)",17,OPEN
180,PLACE DE SOUPETARD,3 PLACE DE SOUPETARD,"(1.477347, 43.612162)",18,OPEN
181,PLANA - GARNIER,27 AV LOUIS PLANA,"(1.479898, 43.609275)",17,OPEN
182,CHAUBET,FACE 155 AV JEAN CHAUBET,"(1.481742, 43.60592)",20,OPEN
183,RUE DE CUGNAUX,RUE DE CUGNAUX,"(1.424313, 43.593147)",18,OPEN
184,MICHOUN,70 CHEMIN MICHOUN,"(1.469293, 43.62724)",20,OPEN
185,ROUBICHOU - ARLES,30 RUE ROUBICHOU,"(1.465538, 43.627108)",15,OPEN
186,DESBALS - BOUALAM,1 IMPASSE BACHAGA BOUALAM,"(1.410939, 43.579171)",18,OPEN
187,DESBALS - MONT DORE,187 RUE HENRI DESBALS,"(1.415683, 43.58456)",17,OPEN
188,MURET - LAFAGE,121 AVENUE DE MURET,"(1.427597, 43.584339)",20,OPEN
189,MURET - BOUTINON,44 AVENUE DE MURET,"(1.425713, 43.581816)",20,OPEN
190,ESPAGNE - LES OUSTALOUS,39 RTE D'ESPAGNE,"(1.423953, 43.577437)",20,OPEN
191,RUE DU 14 JUILLET - ROUTE DE SAINT-SIMON,395 ROUTE DE SAINT SIMON,"(1.415246, 43.590046)",18,OPEN
192,ROUTE DE ST SIMON - PRADO,355 ROUTE DE SAINT-SIMON,"(1.409785, 43.587845)",20,OPEN
193,LOMBEZ - PETITE VITESSE,59 AV DE LOMBEZ,"(1.415088, 43.59487)",20,OPEN
194,LOMBEZ - HIPPODROME,138 AV DE LOMBEZ,"(1.410268, 43.593974)",20,OPEN
195,LARROUSSE - RIEUX,FACE 15 RUE PIERRE LAROUSSE,"(1.459063, 43.597355)",18,OPEN
196,GOUJON - GUILHEMERY,6 RUE JEAN GOUJON,"(1.458019, 43.601719)",20,OPEN
197,CASERNE PERIGNON,6 AV LOUIS BLERIOT,"(1.464039, 43.600361)",20,OPEN
198,LAFILAIRE - DELTOUR,FACE 25 CHEMIN LAFILAIRE,"(1.473375, 43.596193)",20,OPEN
199,DELTOUR - RIEUX,4 BD DELTOUR,"(1.470014, 43.591484)",22,OPEN
