station_numbers,station_names,station_addresses,station_pos,station_capacities,status
252,NEGRENEYS - CASENEUVE,161/163 AV DE NEGRENEYS SUR ILOT CENTRAL,"(1.444024, 43.626842)",16,OPEN
253,ETATS-UNIS - ROBERT,FACE 74 AV DES ETATS-UNIS (GARAGE RENAULT TOULOUSE),"(1.43234, 43.630519)",20,OPEN
254,LOT - VESTREPAIN,RUE DU LOT / 100M AVANT LA RUE VESTREPAIN,"(1.407055, 43.583264)",18,OPEN
255,HENRI SELLIER,2 RUE DES MOUETTES / ANGLE ALL HENRI SELLIER,"(1.440049, 43.576893)",16,OPEN
256,PLACE DE LA RONTONDE,FACE 176 AV DE CASTRES,"(1.48398, 43.59643)",18,OPEN
257,CHATEAU DE L'HERS,CH DU CHATEAU DE L'HERS / ANGLE CH FONTANELLES,"(1.48356, 43.600712)",16,OPEN
258,CAMBARD,BD ATLANTA / ANGLE RUE CAMBARD,"(1.476186, 43.629395)",18,OPEN
259,PLACE RICHE,PL PAUL RICHE A COTE 231 AV DE FRONTON,"(1.43286, 43.647504)",20,OPEN
260,DUCLOS - FRONTON,RUE LEONCE DUCLOS / ANGLE AV DE FRONTON FACE 26 IMP DU BARON,"(1.433998, 43.644963)",18,OPEN
261,VAN DYCK - LAUNAGUET,DEVANT 6 RUE VAN DICK / FACE RUE RAPHAEL,"(1.440154, 43.640631)",18,OPEN
262,ROND POINT CHEMIN DE BORDEROUGE,26 CH DE BORDEROUGE,"(1.456273, 43.642562)",18,OPEN
263,LYCEE POLYVALENT,87 AV JEAN BAYLET / ANGLE CHEMIN CEPIERES SUR PARKING LYCEE POLYVALENT,"(1.398745, 43.584444)",18,OPEN
264,LAFOURGUETTE,PLACE DES GLIERES,"(1.410324, 43.565027)",18,OPEN
265,PASSAGE BORDELONGUE,PASSAGE DU CANAL DE BORDELONGUE FACE 251 RTE DE SEYSSES,"(1.413363, 43.568038)",18,OPEN
266,TOURAINE,38 RUE DE LA TOURAINE,"(1.41394, 43.573708)",20,OPEN
267,GONIN,2 IMP GASTON GENIN ANGLE RUE CLAUDE GONIN,"(1.483924, 43.573895)",16,OPEN
268,PLACE BAYLAC,PL DU DR JOSEPH BAYLAC ANGLE AV DES ARENES ROMAINES,"(1.397192, 43.608597)",22,OPEN
269,PLACE SAUVEGRAIN,PL JACQUES SAUVEGRAIN / ANGLE AV DE LARDENNES,"(1.377827, 43.589921)",18,OPEN
270,SILVIO TRENTIN,RUE JULES VERNE / ANGLE FACE 40 BD SILVIO TRENTIN,"(1.427823, 43.623998)",16,OPEN
271,ANCELY,FACE 151 AV DES ARENES ROMAINES,"(1.396986, 43.619301)",20,OPEN
272,ANDRE VASSEUR,BD ATLANTA / FACE 31 RUE ANDRE VASSEUR,"(1.472855, 43.635421)",17,OPEN
273,PASSERIEU - SAINT-SIMON,RD PT LOUIS IZAR / ANGLE AV LOUIS ARISTE PASSERIEU,"(1.392596, 43.579135)",18,OPEN
274,GALLIENI,FACE 296 RTE DE SEYSSES / HALTE SNCF GALLIENI - CANCEROPOLE,"(1.419495, 43.573998)",18,OPEN
275,PLACE DES PRADETTES,41 AV LOUIS ARISTE PASSERIEU / PL DES PRADETTES,"(1.388774, 43.58144)",17,OPEN
276,MARIN REBOUL,FACE 1 CHEMIN DU MARIN,"(1.379769, 43.581463)",18,OPEN
277,ZAMENHOF,10/12 RUE ZAMENHOF,"(1.377279, 43.585431)",18,OPEN
278,ARENES ROMAINES,RD PT ANGLE AV DES ARENES ROMAINES RUE JEAN ESPITALIER,"(1.397008, 43.614159)",18,OPEN
279,GUY ESPAGNO,AV DE CASSELARDIT / ANGLE AV DU PR GUY ESPAGNO,"(1.401417, 43.613555)",18,OPEN
280,CHARBONNIERE,RUE DE LA CHARBONNIERE ENTRE IMP AMPERE ET RUE DES PALMIERS,"(1.448768, 43.573732)",18,OPEN
281,NIEL,FACE 80 RUE SAINT ROCH / ANGLE AC DU 14EME REGIMENT D'INFANTERIE,"(1.446733, 43.578687)",18,OPEN
282,RICHARD WAGNER,BD RICHARD WAGNER / ANGLE RUE ANTONIO VIVALDI,"(1.414755, 43.606115)",18,OPEN
283,PLACE MICOULEAU,12 RUE DU COL PAUL PAILLOLE PL MICOULEAU,"(1.444344, 43.638055)",20,OPEN
284,METRO ARGOULETS - AGDE,67 RTE D'AGDE / RD PT DAVID FREIMAN,"(1.477098, 43.627013)",15,OPEN
285,METRO BALMA GRAMONT,METRO GRAMONT / ANGLE RUE SAINT JEAN,"(1.482629, 43.628659)",18,OPEN
287,STADE ERNEST-WALLON - STADE TOULOUSAIN,114 RUE DES TROENES / ANGLE STADE ERNEST WALLON,"(1.415125, 43.620607)",30,OPEN
288, METZ - RUE DES MARCHANDS,28 RUE DES MARCHANDS,"(1.44293, 43.600021)",36,OPEN
296,ESPAGNE-LANGLADE,"89, route d'Espagne","(1.42447, 43.571858)",13,OPEN
298,ROUTE DE SEYSSES - C. DE VICOSE,Route de Seysses - C. de Viçose,"(1.418239, 43.57179)",13,OPEN
301,LARDENNE - BROMBACH,50 avenue de Lardenne,"(1.40379, 43.592951)",13,OPEN
306,DEODAT - ARCS SAINT CYPRIEN,"13 et 15, rue des Arcs Saint-Cyprien","(1.423003, 43.590111)",13,OPEN
308,SEPT DENIERS - TROÈNES,Carrefour des Troènes - 76 chemin des Sept Deniers,"(1.412027, 43.620967)",13,OPEN
312,BASE DE LOISIRS SESQUIÈRES,Lac de Sesquières  - Devant l'entrée Wam Park,"(1.419854, 43.651836)",13,OPEN
313,RUE DE FENOUILLET - VERNE,"58, rue de Fenouillet","(1.425653, 43.628271)",13,OPEN
320,RC DE LA VIOLETTE,"Face 14, rue Virginia Wolf","(1.438131, 43.654363)",13,OPEN
321,NÉGRENEYS - ANGES,"57, rue des Anges","(1.440963, 43.620308)",13,OPEN
325, PLACE ROGER LOUPIAC,"Place Roger Loupiac - face 1 et 3, rue Thérèse Avondo","(1.450024, 43.648121)",13,OPEN
326,EBELOT - PUJIBET,"Face 55, rue Henri Ebelot (sur le rond-point)","(1.457716, 43.638044)",13,OPEN
327,ROSTAND - EIDENBENZ,"32, 34 rue Edmond Rostand","(1.463566, 43.644197)",13,OPEN
328,NICOL - VASSEUR,"2, rue Vasseur","(1.469891, 43.633437)",13,OPEN
331,LAVAUR - DALOU,"41, rue Jules Dalou - Angle avenue Lavaur","(1.462668, 43.622578)",13,OPEN
332,PLACE ROSINE BET,"1, place Rosine Bet","(1.467356, 43.623677)",13,OPEN
334, GLOIRE - SAINT BERNARD,"1, rue Saint-Bertrand","(1.458483, 43.605557)",13,OPEN
335,COLONNE - REILLE,"Face 5, rue Maréchal Honoré Reille","(1.459543, 43.609218)",13,OPEN
336,COLONNE - SALONIQUE,"Face 90, avenue de la Colonne, 30 m après angle rue de Caillibens","(1.464953, 43.610556)",13,CLOSED
337,HIRAC - HEREDIA,"1, rue David Elbaz","(1.467544, 43.612555)",13,OPEN
344,RIEUX - VAISSE,"58, avenue Jean Rieux","(1.462071, 43.596256)",13,OPEN
345,CASTRES - LASBORDES,"Parking face 241, avenue de Castres","(1.488444, 43.594671)",13,OPEN
348,REVEL - LABEGE,", Rond-point route de Revel / route de Labège face Jardiland et Midas,","(1.49832, 43.570862)",13,OPEN
352,MONTAUDRAN GARE,"10, avenue de l’aérodrome de Montaudran","(1.48022, 43.573248)",13,OPEN
354,DAURAT - CORNEMONT,"2, rue René Cornemont","(1.490184, 43.564922)",13,OPEN
358,SALADE PONSAN - COTEAUX,"2, rue Thomas Edison","(1.451907, 43.567744)",13,OPEN
364,ESPAGNE - GIRONIS,Rond-point Hélène Rouch – route d’Espagne face clinique Médipôle,"(1.425433, 43.563741)",13,CLOSED
367,PARC DE GIRONIS,Parking salle des fêtes de Lafourguette,"(1.413739, 43.564067)",13,OPEN
368,ROUTE DE SEYSSES - BELLEFONTAINE,"Face 10, allée Bellefontaine","(1.406829, 43.562792)",13,OPEN
369,ROUTE DE SEYSSES - RÉGIS,,"(1.390449, 43.548387)",13,OPEN
375,LESTAND - PERGAUD,"32, chemin de Lestang – passage Louis Pergaud","(1.395886, 43.564715)",13,OPEN
376,MAFFRE - BASSO CAMBO,"Avenue du général Eisenhower, face au collège Saint Simon","(1.3944267, 43.5599624)",13,OPEN
377,MONLONG - LOUP,"Face 55, bis chemin du loup","(1.387295, 43.554796)",13,OPEN
379,MAFFRE - BASSO CAMBO,"Rue Robert Maffre, face 123, chemin de Basso Cambo","(1.384967, 43.561453)",13,OPEN
381,LIFFARD - REGUELONGUE,Liffard - Règuelongue,"(1.37828, 43.55978)",13,OPEN
382,LIFFARD - SAINT SIMON,"Face 66, chemin de Liffard","(1.375571, 43.564413)",13,OPEN
386,BORDEBLANCE - BROUSSIN,"16, chemin de Bordeblanche","(1.386115, 43.582717)",13,CLOSED
387,CORIOLIS - DUPOUY,Avenue Gaspard Coriolis,"(1.380815, 43.57913)",13,OPEN
388,LARDENNE - CALQUET,"Face au 145, avenue de Lardenne / Chemin de Calquet","(1.391433, 43.593757)",13,CLOSED
394,BAYONNE - FLAMBERE,"73, route de Bayonne","(1.389792, 43.608267)",13,OPEN
395,BAYONNE - SENTENAC,"Parking face 1, rue René Sentenac (rond-point)","(1.379956, 43.608999)",13,OPEN
396,BAYONNE - SENTENAC,Rue Alain Fournier,"(1.36915, 43.606486)",13,CLOSED
397,NÉGO SAOUMOS - ZIEGLER,"50m avant 5, rue Négo Saoumos","(1.364053, 43.605637)",13,CLOSED
398,MARTRE - CAULET,"6, rue de Caulet - Carrefour rue de Caulet / rue Marius Tercé","(1.355664, 43.606204)",13,OPEN
1031,ORNE CGB ATELIER,16 rue Brouardel,"(1.42676749231545, 43.6091920469971)",6,OPEN
1032,BORNE CGB TEST 2,,"(1.42676749231545, 43.6081920469971)",4,OPEN
