number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,6,13,2024-08-02T12:57:47+00:00
3,18,8,9,2024-08-02T12:58:10+00:00
14,17,7,10,2024-08-02T12:52:42+00:00
17,23,8,14,2024-08-02T12:56:18+00:00
23,26,12,14,2024-08-02T12:57:44+00:00
24,22,1,21,2024-08-02T12:53:34+00:00
26,22,8,14,2024-08-02T12:57:42+00:00
27,22,11,11,2024-08-02T12:57:27+00:00
31,20,18,2,2024-08-02T12:54:49+00:00
34,22,15,7,2024-08-02T12:55:10+00:00
38,32,31,0,2024-08-02T12:56:32+00:00
41,21,17,4,2024-08-02T12:53:52+00:00
48,32,29,3,2024-08-02T12:54:22+00:00
52,21,5,16,2024-08-02T12:54:48+00:00
58,25,23,1,2024-08-02T12:58:30+00:00
61,40,27,13,2024-08-02T12:58:45+00:00
64,24,23,1,2024-08-02T12:50:39+00:00
65,27,10,16,2024-08-02T12:58:22+00:00
73,16,0,16,2024-08-02T12:57:42+00:00
78,17,0,17,2024-08-02T12:51:54+00:00
79,20,14,6,2024-08-02T12:55:23+00:00
94,25,22,2,2024-08-02T12:58:00+00:00
97,21,18,2,2024-08-02T12:55:47+00:00
102,19,16,3,2024-08-02T12:55:30+00:00
104,18,16,2,2024-08-02T12:55:54+00:00
108,20,13,7,2024-08-02T12:49:46+00:00
110,18,16,2,2024-08-02T12:51:27+00:00
112,20,8,11,2024-08-02T12:50:52+00:00
117,20,10,6,2024-08-02T12:56:12+00:00
127,15,14,1,2024-08-02T12:58:41+00:00
141,18,7,11,2024-08-02T12:52:33+00:00
146,20,1,16,2024-08-02T12:50:34+00:00
155,20,10,9,2024-08-02T12:57:49+00:00
156,18,3,15,2024-08-02T12:56:40+00:00
162,17,8,9,2024-08-02T12:56:46+00:00
167,18,9,7,2024-08-02T12:58:58+00:00
168,20,9,11,2024-08-02T12:58:21+00:00
172,20,17,3,2024-08-02T12:50:09+00:00
174,19,1,17,2024-08-02T12:58:02+00:00
179,17,7,8,2024-08-02T12:50:16+00:00
183,18,4,14,2024-08-02T12:54:41+00:00
186,18,18,0,2024-08-02T12:49:53+00:00
191,18,10,8,2024-08-02T12:52:40+00:00
192,20,7,13,2024-08-02T12:53:31+00:00
201,18,18,0,2024-08-02T12:57:42+00:00
202,17,13,4,2024-08-02T12:54:20+00:00
204,18,14,3,2024-08-02T12:56:00+00:00
210,18,11,7,2024-08-02T12:53:47+00:00
211,18,11,7,2024-08-02T12:51:52+00:00
213,17,17,0,2024-08-02T12:58:08+00:00
214,17,17,0,2024-08-02T12:55:31+00:00
219,18,0,18,2024-08-02T12:54:53+00:00
221,20,7,13,2024-08-02T12:51:52+00:00
222,20,15,3,2024-08-02T12:57:47+00:00
225,20,4,16,2024-08-02T12:56:52+00:00
227,32,24,8,2024-08-02T12:49:14+00:00
230,20,6,13,2024-08-02T12:54:36+00:00
235,19,14,5,2024-08-02T12:56:13+00:00
238,17,6,11,2024-08-02T12:49:23+00:00
240,18,2,16,2024-08-02T12:51:41+00:00
250,18,4,14,2024-08-02T12:51:23+00:00
253,20,6,11,2024-08-02T12:54:26+00:00
255,16,2,14,2024-08-02T12:58:24+00:00
258,18,18,0,2024-08-02T12:49:37+00:00
275,17,5,12,2024-08-02T12:53:47+00:00
278,18,17,1,2024-08-02T12:50:42+00:00
279,18,3,14,2024-08-02T12:55:21+00:00
285,18,6,12,2024-08-02T12:58:34+00:00
288,36,34,2,2024-08-02T12:58:14+00:00
305,13,0,0,2024-08-02T08:33:27+00:00
339,13,13,0,2024-08-02T07:43:48+00:00
359,13,13,0,2024-08-02T07:44:52+00:00
368,13,12,0,2024-08-02T12:53:59+00:00
369,13,13,0,2024-08-02T12:58:45+00:00
377,13,13,0,2024-08-02T12:56:29+00:00
381,13,13,0,2024-08-02T12:50:11+00:00
390,13,0,0,2024-08-02T12:51:22+00:00
