number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,19,0,2024-08-02T03:57:28+00:00
3,18,17,0,2024-08-02T03:59:06+00:00
17,23,22,1,2024-08-02T03:53:29+00:00
23,26,26,0,2024-08-02T03:59:31+00:00
26,22,21,1,2024-08-02T03:52:23+00:00
27,22,21,0,2024-08-02T03:53:22+00:00
31,20,20,0,2024-08-02T03:57:20+00:00
34,22,22,0,2024-08-02T03:50:49+00:00
38,32,31,0,2024-08-02T03:50:13+00:00
41,21,19,0,2024-08-02T03:57:55+00:00
48,32,31,1,2024-08-02T03:54:18+00:00
52,21,6,15,2024-08-02T03:50:06+00:00
58,25,24,0,2024-08-02T03:54:00+00:00
61,40,29,7,2024-08-02T03:58:24+00:00
65,27,19,7,2024-08-02T03:52:06+00:00
73,16,10,6,2024-08-02T03:50:18+00:00
78,17,7,9,2024-08-02T03:55:41+00:00
79,20,15,4,2024-08-02T03:55:33+00:00
94,25,18,6,2024-08-02T03:50:27+00:00
102,19,14,5,2024-08-02T03:57:48+00:00
104,18,6,12,2024-08-02T03:50:27+00:00
108,20,8,12,2024-08-02T03:54:27+00:00
110,18,18,0,2024-08-02T03:55:55+00:00
112,20,5,14,2024-08-02T03:50:30+00:00
117,20,0,16,2024-08-02T03:53:27+00:00
127,15,10,5,2024-08-02T03:54:03+00:00
141,18,5,11,2024-08-02T03:57:35+00:00
146,20,1,16,2024-08-02T03:54:28+00:00
155,20,0,20,2024-08-02T03:51:18+00:00
156,18,1,16,2024-08-02T03:52:24+00:00
162,17,5,12,2024-08-02T03:50:53+00:00
167,18,0,16,2024-08-02T03:53:25+00:00
168,20,3,8,2024-08-02T03:54:17+00:00
172,20,13,7,2024-08-02T03:55:18+00:00
174,19,0,18,2024-08-02T03:52:37+00:00
179,17,7,10,2024-08-02T03:55:01+00:00
183,18,0,18,2024-08-02T03:59:26+00:00
186,18,17,0,2024-08-02T03:54:38+00:00
191,18,0,16,2024-08-02T03:57:27+00:00
192,20,0,20,2024-08-02T03:58:18+00:00
201,18,5,13,2024-08-02T03:51:03+00:00
202,17,7,9,2024-08-02T03:58:03+00:00
204,18,1,16,2024-08-02T03:50:18+00:00
210,18,8,10,2024-08-02T03:58:27+00:00
211,18,14,4,2024-08-02T03:56:53+00:00
213,17,17,0,2024-08-02T03:52:19+00:00
214,17,17,0,2024-08-02T03:50:20+00:00
219,18,0,18,2024-08-02T03:55:20+00:00
221,20,1,19,2024-08-02T03:56:55+00:00
222,20,16,2,2024-08-02T03:52:46+00:00
225,20,10,10,2024-08-02T03:51:30+00:00
227,32,30,2,2024-08-02T03:53:26+00:00
230,20,15,4,2024-08-02T03:58:28+00:00
235,19,14,5,2024-08-02T03:51:18+00:00
238,17,0,17,2024-08-02T03:53:59+00:00
240,18,2,16,2024-08-02T03:56:23+00:00
250,18,0,18,2024-08-02T03:56:17+00:00
253,20,7,11,2024-08-02T03:59:24+00:00
255,16,9,7,2024-08-02T03:51:03+00:00
258,18,18,0,2024-08-02T03:54:53+00:00
275,17,0,17,2024-08-02T03:59:57+00:00
278,18,15,3,2024-08-02T03:54:24+00:00
279,18,8,9,2024-08-02T03:56:32+00:00
285,18,11,7,2024-08-02T03:51:23+00:00
288,36,33,0,2024-08-02T03:54:33+00:00
339,13,11,0,2024-08-02T03:51:33+00:00
359,13,0,0,2024-08-02T03:56:58+00:00
368,13,12,0,2024-08-02T03:59:24+00:00
369,13,13,0,2024-08-02T03:57:25+00:00
381,13,13,0,2024-08-02T03:54:29+00:00
390,13,0,0,2024-08-02T03:56:23+00:00
