number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,11,8,2024-08-02T13:54:31+00:00
3,18,15,2,2024-08-02T13:56:48+00:00
14,17,9,8,2024-08-02T13:50:18+00:00
17,23,2,20,2024-08-02T13:58:57+00:00
23,26,13,13,2024-08-02T13:56:30+00:00
24,22,2,20,2024-08-02T13:49:01+00:00
26,22,11,11,2024-08-02T13:58:22+00:00
27,22,10,12,2024-08-02T13:49:34+00:00
31,20,19,1,2024-08-02T13:59:00+00:00
34,22,16,6,2024-08-02T13:55:51+00:00
38,32,29,2,2024-08-02T13:57:10+00:00
41,21,17,4,2024-08-02T13:58:12+00:00
48,32,27,5,2024-08-02T13:54:58+00:00
52,21,5,16,2024-08-02T13:55:26+00:00
58,25,21,3,2024-08-02T13:56:05+00:00
61,40,25,15,2024-08-02T13:56:26+00:00
64,24,23,1,2024-08-02T13:57:45+00:00
65,27,7,19,2024-08-02T13:57:29+00:00
73,16,3,13,2024-08-02T13:58:21+00:00
78,17,1,16,2024-08-02T13:52:38+00:00
79,20,11,9,2024-08-02T13:54:47+00:00
94,25,20,4,2024-08-02T13:58:53+00:00
97,21,16,2,2024-08-02T13:58:35+00:00
102,19,15,4,2024-08-02T13:53:58+00:00
104,18,15,3,2024-08-02T13:56:30+00:00
108,20,13,7,2024-08-02T13:50:18+00:00
110,18,11,7,2024-08-02T13:52:10+00:00
112,20,7,12,2024-08-02T13:53:49+00:00
117,20,12,3,2024-08-02T13:56:03+00:00
127,15,14,1,2024-08-02T13:49:59+00:00
141,18,8,10,2024-08-02T13:53:06+00:00
146,20,0,17,2024-08-02T13:51:12+00:00
155,20,9,7,2024-08-02T13:58:31+00:00
156,18,1,16,2024-08-02T13:56:52+00:00
162,17,7,10,2024-08-02T13:57:30+00:00
167,18,5,12,2024-08-02T13:58:07+00:00
168,20,9,11,2024-08-02T13:52:35+00:00
172,20,18,2,2024-08-02T13:50:42+00:00
174,19,1,17,2024-08-02T13:58:12+00:00
179,17,7,8,2024-08-02T13:50:51+00:00
183,18,6,12,2024-08-02T13:56:12+00:00
186,18,18,0,2024-08-02T13:50:27+00:00
191,18,8,10,2024-08-02T13:53:14+00:00
192,20,7,13,2024-08-02T13:54:05+00:00
201,18,18,0,2024-08-02T13:58:18+00:00
202,17,13,4,2024-08-02T13:56:11+00:00
204,18,15,1,2024-08-02T13:56:39+00:00
210,18,11,7,2024-08-02T13:54:21+00:00
211,18,11,7,2024-08-02T13:52:24+00:00
213,17,16,1,2024-08-02T13:58:44+00:00
214,17,17,0,2024-08-02T13:56:02+00:00
219,18,1,17,2024-08-02T13:55:26+00:00
221,20,7,13,2024-08-02T13:52:23+00:00
222,20,8,10,2024-08-02T13:58:25+00:00
225,20,3,17,2024-08-02T13:57:29+00:00
227,32,30,2,2024-08-02T13:58:39+00:00
230,20,7,12,2024-08-02T13:51:55+00:00
235,19,15,4,2024-08-02T13:56:50+00:00
238,17,6,11,2024-08-02T13:49:56+00:00
240,18,4,14,2024-08-02T13:53:29+00:00
250,18,4,14,2024-08-02T13:51:55+00:00
253,20,6,11,2024-08-02T13:55:00+00:00
255,16,10,6,2024-08-02T13:57:11+00:00
258,18,18,0,2024-08-02T13:50:09+00:00
275,17,6,11,2024-08-02T13:51:21+00:00
278,18,17,1,2024-08-02T13:51:16+00:00
279,18,3,14,2024-08-02T13:51:40+00:00
285,18,5,13,2024-08-02T13:57:37+00:00
288,36,32,4,2024-08-02T13:52:42+00:00
305,13,0,0,2024-08-02T08:33:27+00:00
339,13,13,0,2024-08-02T07:43:48+00:00
359,13,13,0,2024-08-02T07:44:52+00:00
368,13,12,0,2024-08-02T13:54:29+00:00
369,13,13,0,2024-08-02T13:49:13+00:00
377,13,13,0,2024-08-02T13:36:51+00:00
381,13,13,0,2024-08-02T13:50:43+00:00
390,13,0,0,2024-08-02T13:31:44+00:00
