number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,7,12,2024-08-02T08:50:24+00:00
3,18,5,13,2024-08-02T08:55:47+00:00
14,17,13,4,2024-08-02T08:58:37+00:00
17,23,10,12,2024-08-02T08:56:21+00:00
23,26,10,16,2024-08-02T08:58:08+00:00
24,22,1,21,2024-08-02T08:43:44+00:00
26,22,14,8,2024-08-02T08:55:21+00:00
27,22,18,4,2024-08-02T08:58:14+00:00
31,20,20,0,2024-08-02T08:49:56+00:00
34,22,20,2,2024-08-02T08:58:58+00:00
38,32,19,12,2024-08-02T08:55:52+00:00
41,21,19,2,2024-08-02T08:56:56+00:00
48,32,18,14,2024-08-02T08:57:22+00:00
52,21,6,15,2024-08-02T08:50:38+00:00
58,25,23,1,2024-08-02T08:57:16+00:00
61,40,29,7,2024-08-02T08:58:16+00:00
64,24,23,1,2024-08-02T08:51:19+00:00
65,27,15,11,2024-08-02T08:54:10+00:00
73,16,2,14,2024-08-02T08:54:53+00:00
78,17,4,13,2024-08-02T08:58:06+00:00
79,20,15,5,2024-08-02T08:58:41+00:00
94,25,23,1,2024-08-02T08:54:09+00:00
102,19,18,1,2024-08-02T08:58:13+00:00
104,18,11,7,2024-08-02T08:54:25+00:00
108,20,11,9,2024-08-02T08:57:21+00:00
110,18,16,2,2024-08-02T08:58:55+00:00
112,20,13,6,2024-08-02T08:51:59+00:00
117,20,5,11,2024-08-02T08:56:30+00:00
127,15,14,1,2024-08-02T08:57:03+00:00
141,18,8,10,2024-08-02T08:50:20+00:00
146,20,3,14,2024-08-02T08:57:57+00:00
155,20,16,3,2024-08-02T08:58:37+00:00
156,18,3,15,2024-08-02T08:51:20+00:00
162,17,9,8,2024-08-02T08:54:05+00:00
167,18,11,5,2024-08-02T08:56:33+00:00
168,20,8,12,2024-08-02T08:57:11+00:00
172,20,17,3,2024-08-02T08:58:02+00:00
174,19,0,18,2024-08-02T08:56:13+00:00
179,17,7,10,2024-08-02T08:57:56+00:00
183,18,5,13,2024-08-02T08:52:20+00:00
186,18,17,0,2024-08-02T08:57:34+00:00
191,18,9,9,2024-08-02T08:50:15+00:00
192,20,5,15,2024-08-02T08:51:10+00:00
201,18,16,2,2024-08-02T08:55:04+00:00
202,17,11,5,2024-08-02T08:57:09+00:00
204,18,12,5,2024-08-02T08:53:32+00:00
210,18,11,7,2024-08-02T08:51:28+00:00
211,18,13,5,2024-08-02T08:49:35+00:00
213,17,15,2,2024-08-02T08:55:46+00:00
214,17,17,0,2024-08-02T08:53:21+00:00
219,18,5,13,2024-08-02T08:52:25+00:00
221,20,8,12,2024-08-02T08:49:41+00:00
222,20,10,8,2024-08-02T08:55:11+00:00
225,20,3,17,2024-08-02T08:54:33+00:00
227,32,24,8,2024-08-02T08:56:39+00:00
230,20,11,8,2024-08-02T08:54:05+00:00
235,19,12,7,2024-08-02T08:53:57+00:00
238,17,8,9,2024-08-02T08:57:03+00:00
240,18,2,16,2024-08-02T08:54:51+00:00
250,18,4,14,2024-08-02T08:49:00+00:00
253,20,7,11,2024-08-02T08:52:01+00:00
255,16,12,4,2024-08-02T08:54:01+00:00
258,18,18,0,2024-08-02T08:57:35+00:00
275,17,6,11,2024-08-02T08:52:35+00:00
278,18,17,1,2024-08-02T08:58:31+00:00
279,18,4,13,2024-08-02T08:54:43+00:00
285,18,7,11,2024-08-02T08:58:00+00:00
288,36,27,9,2024-08-02T08:58:27+00:00
305,13,0,0,2024-08-02T08:33:27+00:00
339,13,13,0,2024-08-02T07:43:48+00:00
359,13,13,0,2024-08-02T07:44:52+00:00
368,13,12,0,2024-08-02T08:51:54+00:00
369,13,13,0,2024-08-02T08:50:10+00:00
381,13,13,0,2024-08-02T08:57:22+00:00
390,13,0,0,2024-08-02T08:49:08+00:00
