number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,18,1,2024-08-02T05:58:33+00:00
3,18,14,3,2024-08-02T05:58:19+00:00
17,23,23,0,2024-08-02T05:54:34+00:00
23,26,25,1,2024-08-02T05:50:37+00:00
26,22,21,1,2024-08-02T05:53:29+00:00
27,22,16,5,2024-08-02T05:58:31+00:00
31,20,20,0,2024-08-02T05:58:23+00:00
34,22,22,0,2024-08-02T05:51:56+00:00
38,32,31,0,2024-08-02T05:51:22+00:00
41,21,17,2,2024-08-02T05:48:59+00:00
48,32,24,8,2024-08-02T05:55:25+00:00
52,21,7,14,2024-08-02T05:53:51+00:00
58,25,24,0,2024-08-02T05:55:39+00:00
61,40,28,8,2024-08-02T05:55:53+00:00
65,27,16,10,2024-08-02T05:56:19+00:00
73,16,9,7,2024-08-02T05:52:44+00:00
78,17,7,9,2024-08-02T05:58:10+00:00
79,20,15,4,2024-08-02T05:56:37+00:00
94,25,16,8,2024-08-02T05:57:20+00:00
102,19,16,3,2024-08-02T05:59:00+00:00
104,18,9,9,2024-08-02T05:51:39+00:00
108,20,9,11,2024-08-02T05:55:34+00:00
110,18,16,2,2024-08-02T05:57:06+00:00
112,20,6,13,2024-08-02T05:51:43+00:00
117,20,0,16,2024-08-02T05:54:34+00:00
127,15,12,3,2024-08-02T05:55:10+00:00
141,18,5,11,2024-08-02T05:58:41+00:00
146,20,0,17,2024-08-02T05:55:48+00:00
155,20,6,14,2024-08-02T05:58:56+00:00
156,18,7,11,2024-08-02T05:53:39+00:00
162,17,4,13,2024-08-02T05:54:13+00:00
167,18,1,15,2024-08-02T05:54:33+00:00
168,20,4,16,2024-08-02T05:55:27+00:00
172,20,14,6,2024-08-02T05:56:24+00:00
174,19,0,18,2024-08-02T05:53:47+00:00
179,17,7,10,2024-08-02T05:56:10+00:00
183,18,1,17,2024-08-02T05:50:28+00:00
186,18,17,0,2024-08-02T05:55:49+00:00
191,18,6,10,2024-08-02T05:58:37+00:00
192,20,6,14,2024-08-02T05:49:25+00:00
201,18,5,13,2024-08-02T05:55:09+00:00
202,17,7,9,2024-08-02T05:55:13+00:00
204,18,1,16,2024-08-02T05:51:24+00:00
210,18,9,9,2024-08-02T05:53:39+00:00
211,18,14,4,2024-08-02T05:57:58+00:00
213,17,17,0,2024-08-02T05:53:31+00:00
214,17,17,0,2024-08-02T05:51:25+00:00
219,18,1,17,2024-08-02T05:56:26+00:00
221,20,9,11,2024-08-02T05:58:07+00:00
222,20,15,3,2024-08-02T05:51:40+00:00
225,20,9,11,2024-08-02T05:52:34+00:00
227,32,18,14,2024-08-02T05:54:39+00:00
230,20,11,8,2024-08-02T05:57:36+00:00
235,19,13,6,2024-08-02T05:52:21+00:00
238,17,6,11,2024-08-02T05:55:18+00:00
240,18,0,18,2024-08-02T05:57:33+00:00
250,18,6,12,2024-08-02T05:57:22+00:00
253,20,8,10,2024-08-02T05:56:06+00:00
255,16,9,7,2024-08-02T05:52:14+00:00
258,18,18,0,2024-08-02T05:55:58+00:00
275,17,6,11,2024-08-02T05:51:02+00:00
278,18,15,3,2024-08-02T05:55:32+00:00
279,18,4,13,2024-08-02T05:57:45+00:00
285,18,11,7,2024-08-02T05:52:30+00:00
288,36,31,2,2024-08-02T05:55:44+00:00
339,13,11,0,2024-08-02T05:52:41+00:00
359,13,0,0,2024-08-02T05:58:00+00:00
368,13,12,0,2024-08-02T05:50:21+00:00
369,13,13,0,2024-08-02T05:58:33+00:00
381,13,13,0,2024-08-02T05:55:38+00:00
390,13,0,0,2024-08-02T05:57:31+00:00
