number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,5,14,2024-08-02T10:55:18+00:00
3,18,4,13,2024-08-02T10:54:49+00:00
14,17,5,12,2024-08-02T10:58:28+00:00
17,23,3,19,2024-08-02T10:57:55+00:00
23,26,8,18,2024-08-02T10:54:19+00:00
24,22,3,19,2024-08-02T10:55:33+00:00
26,22,8,14,2024-08-02T10:56:35+00:00
27,22,11,11,2024-08-02T10:57:49+00:00
31,20,20,0,2024-08-02T10:51:00+00:00
34,22,20,2,2024-08-02T10:53:51+00:00
38,32,23,8,2024-08-02T10:57:56+00:00
41,21,17,4,2024-08-02T10:54:49+00:00
48,32,27,5,2024-08-02T10:58:44+00:00
52,21,6,15,2024-08-02T10:52:42+00:00
58,25,22,2,2024-08-02T10:58:56+00:00
61,40,22,14,2024-08-02T10:53:30+00:00
64,24,23,1,2024-08-02T10:53:43+00:00
65,27,13,13,2024-08-02T10:55:33+00:00
73,16,5,11,2024-08-02T10:56:11+00:00
78,17,2,15,2024-08-02T10:56:55+00:00
79,20,12,8,2024-08-02T10:52:27+00:00
94,25,20,4,2024-08-02T10:55:46+00:00
97,21,20,0,2024-08-02T10:55:34+00:00
102,19,13,6,2024-08-02T10:54:15+00:00
104,18,14,4,2024-08-02T10:54:57+00:00
108,20,13,7,2024-08-02T10:58:35+00:00
110,18,17,1,2024-08-02T10:54:44+00:00
112,20,17,2,2024-08-02T10:45:29+00:00
117,20,7,9,2024-08-02T10:57:46+00:00
127,15,14,1,2024-08-02T10:58:16+00:00
141,18,8,10,2024-08-02T10:51:28+00:00
146,20,3,14,2024-08-02T10:49:06+00:00
155,20,8,11,2024-08-02T10:56:36+00:00
156,18,1,17,2024-08-02T10:52:32+00:00
162,17,10,7,2024-08-02T10:55:31+00:00
167,18,12,5,2024-08-02T10:57:49+00:00
168,20,9,11,2024-08-02T10:58:13+00:00
172,20,17,3,2024-08-02T10:49:00+00:00
174,19,0,18,2024-08-02T10:56:46+00:00
179,17,6,8,2024-08-02T10:50:41+00:00
183,18,3,15,2024-08-02T10:53:32+00:00
186,18,18,0,2024-08-02T10:58:47+00:00
191,18,9,9,2024-08-02T10:52:31+00:00
192,20,6,14,2024-08-02T10:52:18+00:00
201,18,17,1,2024-08-02T10:58:08+00:00
202,17,12,4,2024-08-02T10:53:06+00:00
204,18,12,5,2024-08-02T10:54:45+00:00
210,18,11,7,2024-08-02T10:52:40+00:00
211,18,13,5,2024-08-02T10:50:41+00:00
213,17,17,0,2024-08-02T10:56:59+00:00
214,17,17,0,2024-08-02T10:54:26+00:00
219,18,0,18,2024-08-02T10:58:14+00:00
221,20,8,12,2024-08-02T10:50:47+00:00
222,20,13,5,2024-08-02T10:56:10+00:00
225,20,6,14,2024-08-02T10:55:46+00:00
227,32,27,5,2024-08-02T10:58:02+00:00
230,20,13,6,2024-08-02T10:53:01+00:00
235,19,15,4,2024-08-02T10:55:07+00:00
238,17,7,10,2024-08-02T10:58:16+00:00
240,18,1,17,2024-08-02T10:50:27+00:00
250,18,4,14,2024-08-02T10:58:01+00:00
253,20,6,11,2024-08-02T10:53:22+00:00
255,16,13,3,2024-08-02T10:55:11+00:00
258,18,18,0,2024-08-02T10:58:39+00:00
275,17,5,12,2024-08-02T10:49:40+00:00
278,18,17,1,2024-08-02T10:49:35+00:00
279,18,1,16,2024-08-02T10:49:50+00:00
285,18,7,11,2024-08-02T10:55:40+00:00
288,36,24,12,2024-08-02T10:58:50+00:00
305,13,0,0,2024-08-02T08:33:27+00:00
339,13,13,0,2024-08-02T07:43:48+00:00
359,13,13,0,2024-08-02T07:44:52+00:00
368,13,12,0,2024-08-02T10:52:57+00:00
369,13,13,0,2024-08-02T10:51:18+00:00
377,13,12,0,2024-08-02T10:58:38+00:00
381,13,13,0,2024-08-02T10:58:30+00:00
390,13,0,0,2024-08-02T10:50:14+00:00
