number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,9,10,2024-08-02T14:58:41+00:00
3,18,12,5,2024-08-02T14:58:51+00:00
14,17,8,9,2024-08-02T14:58:16+00:00
17,23,1,21,2024-08-02T14:58:21+00:00
23,26,13,13,2024-08-02T14:57:12+00:00
24,22,2,20,2024-08-02T14:55:54+00:00
26,22,12,10,2024-08-02T14:58:57+00:00
27,22,10,12,2024-08-02T14:50:12+00:00
31,20,20,0,2024-08-02T14:53:17+00:00
34,22,19,3,2024-08-02T14:56:32+00:00
38,32,29,2,2024-08-02T14:57:53+00:00
41,21,17,4,2024-08-02T14:55:07+00:00
48,32,27,5,2024-08-02T14:58:42+00:00
52,21,6,15,2024-08-02T14:56:53+00:00
58,25,22,2,2024-08-02T14:58:11+00:00
61,40,7,33,2024-08-02T14:58:12+00:00
64,24,23,1,2024-08-02T14:57:36+00:00
65,27,8,18,2024-08-02T14:58:06+00:00
73,16,0,16,2024-08-02T14:58:57+00:00
78,17,0,17,2024-08-02T14:57:22+00:00
79,20,17,3,2024-08-02T14:52:25+00:00
94,25,11,13,2024-08-02T14:58:09+00:00
97,21,15,5,2024-08-02T14:58:24+00:00
102,19,19,0,2024-08-02T14:54:13+00:00
104,18,11,7,2024-08-02T14:57:12+00:00
108,20,16,4,2024-08-02T14:55:36+00:00
110,18,12,6,2024-08-02T14:52:50+00:00
112,20,11,8,2024-08-02T14:56:37+00:00
117,20,13,2,2024-08-02T14:50:29+00:00
127,15,15,0,2024-08-02T14:50:32+00:00
141,18,8,10,2024-08-02T14:53:38+00:00
146,20,0,17,2024-08-02T14:51:49+00:00
155,20,8,11,2024-08-02T14:58:13+00:00
156,18,1,16,2024-08-02T14:52:44+00:00
162,17,5,12,2024-08-02T14:58:11+00:00
167,18,5,12,2024-08-02T14:50:07+00:00
168,20,10,10,2024-08-02T14:50:30+00:00
172,20,16,4,2024-08-02T14:51:15+00:00
174,19,1,17,2024-08-02T14:55:11+00:00
179,17,7,8,2024-08-02T14:51:26+00:00
183,18,7,11,2024-08-02T14:55:54+00:00
186,18,18,0,2024-08-02T14:51:04+00:00
191,18,11,7,2024-08-02T14:53:51+00:00
192,20,8,12,2024-08-02T14:54:44+00:00
201,18,18,0,2024-08-02T14:58:56+00:00
202,17,16,1,2024-08-02T14:55:23+00:00
204,18,10,6,2024-08-02T14:59:02+00:00
210,18,12,6,2024-08-02T14:55:02+00:00
211,18,12,6,2024-08-02T14:52:58+00:00
213,17,17,0,2024-08-02T14:49:15+00:00
214,17,17,0,2024-08-02T14:56:34+00:00
219,18,0,18,2024-08-02T14:56:00+00:00
221,20,7,13,2024-08-02T14:52:56+00:00
222,20,8,10,2024-08-02T14:49:24+00:00
225,20,1,19,2024-08-02T14:58:01+00:00
227,32,32,0,2024-08-02T14:50:46+00:00
230,20,6,13,2024-08-02T14:52:31+00:00
235,19,13,6,2024-08-02T14:57:25+00:00
238,17,5,12,2024-08-02T14:50:30+00:00
240,18,0,18,2024-08-02T14:52:56+00:00
250,18,1,17,2024-08-02T14:52:23+00:00
253,20,3,14,2024-08-02T14:55:35+00:00
255,16,10,6,2024-08-02T14:57:45+00:00
258,18,18,0,2024-08-02T14:50:43+00:00
275,17,8,9,2024-08-02T14:51:57+00:00
278,18,18,0,2024-08-02T14:51:50+00:00
279,18,4,13,2024-08-02T14:52:16+00:00
285,18,4,14,2024-08-02T14:58:03+00:00
288,36,21,15,2024-08-02T14:53:24+00:00
305,13,0,0,2024-08-02T08:33:27+00:00
339,13,13,0,2024-08-02T07:43:48+00:00
359,13,13,0,2024-08-02T07:44:52+00:00
368,13,12,0,2024-08-02T14:55:01+00:00
369,13,13,0,2024-08-02T14:57:54+00:00
377,13,13,0,2024-08-02T13:36:51+00:00
381,13,13,0,2024-08-02T14:51:17+00:00
390,13,0,0,2024-08-02T13:31:44+00:00
