number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,8,11,2024-08-02T11:58:41+00:00
3,18,3,14,2024-08-02T11:57:35+00:00
14,17,6,11,2024-08-02T11:57:23+00:00
17,23,5,17,2024-08-02T11:58:42+00:00
23,26,14,12,2024-08-02T11:55:40+00:00
24,22,2,20,2024-08-02T11:52:57+00:00
26,22,8,14,2024-08-02T11:57:08+00:00
27,22,10,12,2024-08-02T11:58:26+00:00
31,20,20,0,2024-08-02T11:56:36+00:00
34,22,17,5,2024-08-02T11:56:52+00:00
38,32,24,7,2024-08-02T11:55:52+00:00
41,21,17,4,2024-08-02T11:53:09+00:00
48,32,31,1,2024-08-02T11:54:27+00:00
52,21,4,17,2024-08-02T11:54:11+00:00
58,25,23,1,2024-08-02T11:56:53+00:00
61,40,28,12,2024-08-02T11:54:27+00:00
64,24,23,1,2024-08-02T11:54:21+00:00
65,27,11,15,2024-08-02T11:56:13+00:00
73,16,7,9,2024-08-02T11:56:54+00:00
78,17,1,16,2024-08-02T11:54:20+00:00
79,20,13,7,2024-08-02T11:58:14+00:00
94,25,23,1,2024-08-02T11:56:52+00:00
97,21,20,0,2024-08-02T11:55:10+00:00
102,19,15,4,2024-08-02T11:54:52+00:00
104,18,14,4,2024-08-02T11:58:15+00:00
108,20,14,6,2024-08-02T11:57:08+00:00
110,18,17,1,2024-08-02T11:56:02+00:00
112,20,12,7,2024-08-02T11:49:50+00:00
117,20,10,6,2024-08-02T11:58:29+00:00
127,15,14,1,2024-08-02T11:58:52+00:00
141,18,8,10,2024-08-02T11:52:00+00:00
146,20,0,17,2024-08-02T11:57:49+00:00
155,20,10,9,2024-08-02T11:57:12+00:00
156,18,1,17,2024-08-02T11:53:08+00:00
162,17,8,9,2024-08-02T11:56:08+00:00
167,18,10,7,2024-08-02T11:58:23+00:00
168,20,9,11,2024-08-02T11:58:44+00:00
172,20,16,4,2024-08-02T11:49:34+00:00
174,19,3,15,2024-08-02T11:57:24+00:00
179,17,7,8,2024-08-02T11:49:41+00:00
183,18,2,16,2024-08-02T11:54:05+00:00
186,18,18,0,2024-08-02T11:49:19+00:00
191,18,10,8,2024-08-02T11:52:04+00:00
192,20,6,14,2024-08-02T11:52:53+00:00
201,18,18,0,2024-08-02T11:57:06+00:00
202,17,13,4,2024-08-02T11:53:41+00:00
204,18,14,3,2024-08-02T11:55:24+00:00
210,18,11,7,2024-08-02T11:53:15+00:00
211,18,11,7,2024-08-02T11:51:18+00:00
213,17,17,0,2024-08-02T11:57:34+00:00
214,17,17,0,2024-08-02T11:54:58+00:00
219,18,1,17,2024-08-02T11:54:16+00:00
221,20,7,13,2024-08-02T11:51:19+00:00
222,20,15,3,2024-08-02T11:56:59+00:00
225,20,3,17,2024-08-02T11:56:20+00:00
227,32,28,4,2024-08-02T11:58:39+00:00
230,20,10,9,2024-08-02T11:53:50+00:00
235,19,15,4,2024-08-02T11:55:35+00:00
238,17,7,10,2024-08-02T11:58:49+00:00
240,18,2,16,2024-08-02T11:51:04+00:00
250,18,3,15,2024-08-02T11:50:46+00:00
253,20,6,11,2024-08-02T11:58:49+00:00
255,16,13,3,2024-08-02T11:57:30+00:00
258,18,18,0,2024-08-02T11:49:05+00:00
275,17,6,11,2024-08-02T11:50:14+00:00
278,18,17,1,2024-08-02T11:50:09+00:00
279,18,1,16,2024-08-02T11:50:29+00:00
285,18,4,14,2024-08-02T11:58:38+00:00
288,36,26,10,2024-08-02T11:53:38+00:00
305,13,0,0,2024-08-02T08:33:27+00:00
339,13,13,0,2024-08-02T07:43:48+00:00
359,13,13,0,2024-08-02T07:44:52+00:00
368,13,12,0,2024-08-02T11:53:29+00:00
369,13,13,0,2024-08-02T11:51:53+00:00
377,13,13,0,2024-08-02T11:55:56+00:00
381,13,13,0,2024-08-02T11:49:35+00:00
390,13,0,0,2024-08-02T11:50:48+00:00
