number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,8,11,2024-08-02T09:58:40+00:00
3,18,3,14,2024-08-02T09:59:37+00:00
14,17,9,8,2024-08-02T09:57:51+00:00
17,23,9,13,2024-08-02T09:57:05+00:00
23,26,9,17,2024-08-02T09:59:56+00:00
24,22,1,21,2024-08-02T09:53:25+00:00
26,22,14,8,2024-08-02T09:55:53+00:00
27,22,12,10,2024-08-02T10:00:03+00:00
31,20,20,0,2024-08-02T09:50:26+00:00
34,22,22,0,2024-08-02T09:53:16+00:00
38,32,18,13,2024-08-02T09:54:27+00:00
41,21,20,1,2024-08-02T09:56:49+00:00
48,32,21,11,2024-08-02T09:59:43+00:00
52,21,7,14,2024-08-02T09:51:16+00:00
58,25,23,1,2024-08-02T09:58:04+00:00
61,40,32,4,2024-08-02T09:59:45+00:00
64,24,24,0,2024-08-02T09:53:09+00:00
65,27,12,14,2024-08-02T09:54:50+00:00
73,16,5,11,2024-08-02T09:55:30+00:00
78,17,8,9,2024-08-02T09:53:44+00:00
79,20,15,5,2024-08-02T09:59:19+00:00
94,25,22,2,2024-08-02T09:55:01+00:00
102,19,17,2,2024-08-02T09:53:37+00:00
104,18,12,6,2024-08-02T09:54:02+00:00
108,20,9,11,2024-08-02T09:57:55+00:00
110,18,18,0,2024-08-02T09:59:34+00:00
112,20,18,1,2024-08-02T09:52:59+00:00
117,20,7,9,2024-08-02T09:57:08+00:00
127,15,14,1,2024-08-02T09:57:39+00:00
141,18,8,10,2024-08-02T09:50:55+00:00
146,20,3,14,2024-08-02T09:58:36+00:00
155,20,10,9,2024-08-02T09:56:59+00:00
156,18,3,15,2024-08-02T09:51:56+00:00
162,17,11,6,2024-08-02T09:54:49+00:00
167,18,10,7,2024-08-02T09:57:11+00:00
168,20,8,12,2024-08-02T09:57:42+00:00
172,20,17,3,2024-08-02T09:58:33+00:00
174,19,0,18,2024-08-02T09:56:08+00:00
179,17,6,11,2024-08-02T09:58:32+00:00
183,18,4,14,2024-08-02T09:55:34+00:00
186,18,18,0,2024-08-02T09:58:13+00:00
191,18,9,9,2024-08-02T09:50:51+00:00
192,20,6,14,2024-08-02T09:51:45+00:00
201,18,13,5,2024-08-02T09:55:43+00:00
202,17,11,5,2024-08-02T09:53:04+00:00
204,18,10,7,2024-08-02T09:56:45+00:00
210,18,11,7,2024-08-02T09:52:03+00:00
211,18,13,5,2024-08-02T09:50:08+00:00
213,17,17,0,2024-08-02T09:56:26+00:00
214,17,17,0,2024-08-02T09:53:54+00:00
219,18,4,14,2024-08-02T09:59:22+00:00
221,20,8,12,2024-08-02T09:50:13+00:00
222,20,11,7,2024-08-02T09:56:47+00:00
225,20,6,14,2024-08-02T09:57:12+00:00
227,32,25,7,2024-08-02T09:57:19+00:00
230,20,12,7,2024-08-02T09:54:47+00:00
235,19,14,5,2024-08-02T09:54:32+00:00
238,17,9,8,2024-08-02T09:57:42+00:00
240,18,1,17,2024-08-02T09:59:59+00:00
250,18,5,13,2024-08-02T09:59:41+00:00
253,20,7,11,2024-08-02T09:52:34+00:00
255,16,12,4,2024-08-02T09:54:35+00:00
258,18,18,0,2024-08-02T09:58:07+00:00
275,17,5,12,2024-08-02T09:59:14+00:00
278,18,17,1,2024-08-02T09:59:05+00:00
279,18,2,15,2024-08-02T09:59:21+00:00
285,18,6,12,2024-08-02T09:59:51+00:00
288,36,29,7,2024-08-02T09:59:35+00:00
305,13,0,0,2024-08-02T08:33:27+00:00
339,13,13,0,2024-08-02T07:43:48+00:00
359,13,13,0,2024-08-02T07:44:52+00:00
368,13,12,0,2024-08-02T09:52:25+00:00
369,13,13,0,2024-08-02T09:50:45+00:00
377,13,12,0,2024-08-02T09:54:33+00:00
381,13,13,0,2024-08-02T09:57:56+00:00
390,13,0,0,2024-08-02T09:59:47+00:00
