number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,19,0,2024-08-02T04:57:59+00:00
3,18,17,0,2024-08-02T04:59:40+00:00
17,23,23,0,2024-08-02T04:54:01+00:00
23,26,26,0,2024-08-02T04:49:59+00:00
26,22,21,1,2024-08-02T04:52:55+00:00
27,22,21,0,2024-08-02T04:53:56+00:00
31,20,20,0,2024-08-02T04:57:52+00:00
34,22,22,0,2024-08-02T04:51:22+00:00
38,32,31,0,2024-08-02T04:50:47+00:00
41,21,18,1,2024-08-02T04:58:30+00:00
48,32,24,8,2024-08-02T04:54:53+00:00
52,21,6,15,2024-08-02T04:52:47+00:00
58,25,24,0,2024-08-02T04:54:34+00:00
61,40,26,10,2024-08-02T04:58:42+00:00
65,27,18,8,2024-08-02T04:51:38+00:00
73,16,10,6,2024-08-02T04:52:08+00:00
78,17,8,8,2024-08-02T04:53:45+00:00
79,20,15,4,2024-08-02T04:56:05+00:00
94,25,16,8,2024-08-02T04:59:26+00:00
102,19,16,3,2024-08-02T04:58:26+00:00
104,18,7,11,2024-08-02T04:51:02+00:00
108,20,8,12,2024-08-02T04:55:00+00:00
110,18,17,1,2024-08-02T04:56:30+00:00
112,20,5,14,2024-08-02T04:50:58+00:00
117,20,0,16,2024-08-02T04:54:00+00:00
127,15,11,4,2024-08-02T04:54:36+00:00
141,18,5,11,2024-08-02T04:58:07+00:00
146,20,0,17,2024-08-02T04:55:06+00:00
155,20,7,13,2024-08-02T04:59:03+00:00
156,18,1,16,2024-08-02T04:52:58+00:00
162,17,5,12,2024-08-02T04:51:26+00:00
167,18,0,16,2024-08-02T04:53:59+00:00
168,20,4,16,2024-08-02T04:54:56+00:00
172,20,13,7,2024-08-02T04:55:51+00:00
174,19,0,18,2024-08-02T04:53:13+00:00
179,17,7,10,2024-08-02T04:55:35+00:00
183,18,1,17,2024-08-02T05:00:00+00:00
186,18,17,0,2024-08-02T04:55:14+00:00
191,18,6,10,2024-08-02T04:58:03+00:00
192,20,6,14,2024-08-02T04:58:55+00:00
201,18,4,14,2024-08-02T04:51:41+00:00
202,17,7,9,2024-08-02T04:54:38+00:00
204,18,1,16,2024-08-02T04:50:50+00:00
210,18,8,10,2024-08-02T04:59:01+00:00
211,18,14,4,2024-08-02T04:57:26+00:00
213,17,17,0,2024-08-02T04:52:58+00:00
214,17,17,0,2024-08-02T04:50:53+00:00
219,18,0,18,2024-08-02T04:55:52+00:00
221,20,1,19,2024-08-02T04:57:29+00:00
222,20,15,3,2024-08-02T04:51:07+00:00
225,20,10,10,2024-08-02T04:52:00+00:00
227,32,30,2,2024-08-02T04:54:01+00:00
230,20,9,10,2024-08-02T04:56:56+00:00
235,19,14,5,2024-08-02T04:51:50+00:00
238,17,6,11,2024-08-02T04:54:44+00:00
240,18,0,18,2024-08-02T04:56:59+00:00
250,18,6,12,2024-08-02T04:56:51+00:00
253,20,7,11,2024-08-02T04:59:55+00:00
255,16,9,7,2024-08-02T04:51:38+00:00
258,18,18,0,2024-08-02T04:55:26+00:00
275,17,1,16,2024-08-02T04:50:23+00:00
278,18,15,3,2024-08-02T04:54:58+00:00
279,18,8,9,2024-08-02T04:57:07+00:00
285,18,11,7,2024-08-02T04:51:57+00:00
288,36,32,1,2024-08-02T04:55:07+00:00
339,13,11,0,2024-08-02T04:52:08+00:00
359,13,0,0,2024-08-02T04:57:29+00:00
368,13,12,0,2024-08-02T04:59:55+00:00
369,13,13,0,2024-08-02T04:57:59+00:00
381,13,13,0,2024-08-02T04:55:03+00:00
390,13,0,0,2024-08-02T04:56:57+00:00
