number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,16,3,2024-08-02T06:57:10+00:00
3,18,16,1,2024-08-02T06:57:54+00:00
17,23,19,4,2024-08-02T06:58:28+00:00
23,26,19,7,2024-08-02T06:58:25+00:00
26,22,17,5,2024-08-02T06:58:04+00:00
27,22,17,4,2024-08-02T06:55:06+00:00
31,20,19,1,2024-08-02T06:58:55+00:00
34,22,22,0,2024-08-02T06:52:35+00:00
38,32,28,3,2024-08-02T06:52:48+00:00
41,21,18,1,2024-08-02T06:49:43+00:00
48,32,25,7,2024-08-02T06:57:26+00:00
52,21,6,15,2024-08-02T06:58:17+00:00
58,25,22,2,2024-08-02T06:58:31+00:00
61,40,32,4,2024-08-02T06:58:28+00:00
65,27,17,9,2024-08-02T06:52:49+00:00
73,16,3,13,2024-08-02T06:58:51+00:00
78,17,7,9,2024-08-02T06:50:44+00:00
79,20,15,4,2024-08-02T06:57:19+00:00
94,25,18,6,2024-08-02T06:58:40+00:00
102,19,13,6,2024-08-02T06:58:50+00:00
104,18,10,8,2024-08-02T06:53:39+00:00
108,20,9,11,2024-08-02T06:56:09+00:00
110,18,18,0,2024-08-02T06:57:46+00:00
112,20,9,10,2024-08-02T06:57:04+00:00
117,20,1,15,2024-08-02T06:55:09+00:00
127,15,14,1,2024-08-02T06:55:48+00:00
141,18,4,12,2024-08-02T06:49:09+00:00
146,20,1,16,2024-08-02T06:56:30+00:00
155,20,10,10,2024-08-02T06:58:55+00:00
156,18,6,12,2024-08-02T06:54:15+00:00
162,17,7,10,2024-08-02T06:55:05+00:00
167,18,5,11,2024-08-02T06:55:13+00:00
168,20,8,12,2024-08-02T06:56:07+00:00
172,20,15,5,2024-08-02T06:56:57+00:00
174,19,0,18,2024-08-02T06:54:19+00:00
179,17,7,10,2024-08-02T06:56:46+00:00
183,18,3,15,2024-08-02T06:51:58+00:00
186,18,17,0,2024-08-02T06:56:22+00:00
191,18,9,8,2024-08-02T06:49:11+00:00
192,20,7,13,2024-08-02T06:50:00+00:00
201,18,8,10,2024-08-02T06:53:13+00:00
202,17,9,7,2024-08-02T06:58:05+00:00
204,18,10,7,2024-08-02T06:57:29+00:00
210,18,10,8,2024-08-02T06:50:12+00:00
211,18,13,5,2024-08-02T06:58:32+00:00
213,17,11,6,2024-08-02T06:54:17+00:00
214,17,12,5,2024-08-02T06:58:31+00:00
219,18,3,15,2024-08-02T06:57:02+00:00
221,20,9,11,2024-08-02T06:58:39+00:00
222,20,8,10,2024-08-02T06:53:01+00:00
225,20,6,14,2024-08-02T06:58:36+00:00
227,32,15,17,2024-08-02T06:55:18+00:00
230,20,13,6,2024-08-02T06:58:19+00:00
235,19,13,6,2024-08-02T06:56:09+00:00
238,17,7,10,2024-08-02T06:56:19+00:00
240,18,1,17,2024-08-02T06:58:12+00:00
250,18,7,11,2024-08-02T06:58:00+00:00
253,20,6,12,2024-08-02T06:50:58+00:00
255,16,9,7,2024-08-02T06:52:48+00:00
258,18,18,0,2024-08-02T06:56:31+00:00
275,17,5,12,2024-08-02T06:51:32+00:00
278,18,16,2,2024-08-02T06:56:31+00:00
279,18,0,17,2024-08-02T06:58:21+00:00
285,18,9,9,2024-08-02T06:53:10+00:00
288,36,33,1,2024-08-02T06:57:00+00:00
339,13,13,0,2024-08-02T06:53:30+00:00
359,13,0,0,2024-08-02T06:58:31+00:00
368,13,12,0,2024-08-02T06:50:53+00:00
369,13,13,0,2024-08-02T06:49:00+00:00
381,13,13,0,2024-08-02T06:56:13+00:00
390,13,0,0,2024-08-02T06:58:06+00:00
