number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,10,9,2024-08-02T07:54:34+00:00
3,18,9,8,2024-08-02T07:58:28+00:00
14,17,16,1,2024-08-02T07:58:55+00:00
17,23,11,11,2024-08-02T07:55:46+00:00
23,26,16,10,2024-08-02T07:55:29+00:00
24,22,1,21,2024-08-02T07:54:37+00:00
26,22,15,7,2024-08-02T07:54:48+00:00
27,22,19,3,2024-08-02T07:55:44+00:00
31,20,20,0,2024-08-02T07:49:25+00:00
34,22,21,1,2024-08-02T07:53:10+00:00
38,32,22,9,2024-08-02T07:53:03+00:00
41,21,20,1,2024-08-02T07:50:39+00:00
48,32,21,11,2024-08-02T07:56:47+00:00
52,21,6,15,2024-08-02T07:49:14+00:00
58,25,23,1,2024-08-02T07:56:37+00:00
61,40,28,8,2024-08-02T07:56:03+00:00
65,27,21,5,2024-08-02T07:57:37+00:00
73,16,2,13,2024-08-02T07:56:08+00:00
78,17,3,13,2024-08-02T07:50:26+00:00
79,20,15,4,2024-08-02T07:58:00+00:00
94,25,21,3,2024-08-02T07:58:15+00:00
102,19,16,3,2024-08-02T07:52:21+00:00
104,18,11,7,2024-08-02T07:52:53+00:00
108,20,8,12,2024-08-02T07:56:43+00:00
110,18,18,0,2024-08-02T07:58:19+00:00
112,20,10,9,2024-08-02T07:57:05+00:00
117,20,4,12,2024-08-02T07:55:48+00:00
127,15,11,4,2024-08-02T07:56:25+00:00
141,18,6,12,2024-08-02T07:54:56+00:00
146,20,0,17,2024-08-02T07:57:15+00:00
155,20,16,4,2024-08-02T07:54:12+00:00
156,18,4,14,2024-08-02T07:57:19+00:00
162,17,9,8,2024-08-02T07:53:30+00:00
167,18,10,6,2024-08-02T07:55:56+00:00
168,20,8,12,2024-08-02T07:56:40+00:00
172,20,16,4,2024-08-02T07:57:29+00:00
174,19,0,18,2024-08-02T07:55:00+00:00
179,17,7,10,2024-08-02T07:57:21+00:00
183,18,7,11,2024-08-02T07:57:14+00:00
186,18,17,0,2024-08-02T07:56:57+00:00
191,18,9,9,2024-08-02T07:49:44+00:00
192,20,6,14,2024-08-02T07:50:34+00:00
201,18,12,5,2024-08-02T07:58:49+00:00
202,17,9,7,2024-08-02T07:56:28+00:00
204,18,15,2,2024-08-02T07:52:56+00:00
210,18,11,7,2024-08-02T07:53:37+00:00
211,18,13,5,2024-08-02T07:55:43+00:00
213,17,11,6,2024-08-02T07:58:54+00:00
214,17,16,1,2024-08-02T07:52:49+00:00
219,18,6,12,2024-08-02T07:57:38+00:00
221,20,9,11,2024-08-02T07:49:07+00:00
222,20,3,15,2024-08-02T07:53:54+00:00
225,20,7,13,2024-08-02T07:58:49+00:00
227,32,23,9,2024-08-02T07:56:04+00:00
230,20,17,2,2024-08-02T07:53:21+00:00
235,19,12,7,2024-08-02T07:53:27+00:00
238,17,9,8,2024-08-02T07:56:30+00:00
240,18,2,16,2024-08-02T07:58:48+00:00
250,18,5,13,2024-08-02T07:58:31+00:00
253,20,6,12,2024-08-02T07:51:28+00:00
255,16,11,5,2024-08-02T07:53:26+00:00
258,18,18,0,2024-08-02T07:57:03+00:00
275,17,5,12,2024-08-02T07:52:03+00:00
278,18,16,2,2024-08-02T07:57:56+00:00
279,18,2,15,2024-08-02T07:58:58+00:00
285,18,8,10,2024-08-02T07:53:44+00:00
288,36,31,5,2024-08-02T07:57:44+00:00
305,13,10,0,2024-08-02T07:59:03+00:00
339,13,13,0,2024-08-02T07:43:48+00:00
359,13,13,0,2024-08-02T07:44:52+00:00
368,13,12,0,2024-08-02T07:51:24+00:00
369,13,13,0,2024-08-02T07:49:35+00:00
381,13,13,0,2024-08-02T07:56:48+00:00
390,13,0,0,2024-08-02T07:58:40+00:00
