number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,19,0,2024-08-02T01:56:24+00:00
3,18,17,0,2024-08-02T01:57:58+00:00
17,23,23,0,2024-08-02T01:52:27+00:00
23,26,26,0,2024-08-02T01:58:20+00:00
26,22,21,1,2024-08-02T01:51:21+00:00
27,22,21,0,2024-08-02T01:52:16+00:00
31,20,20,0,2024-08-02T01:56:21+00:00
34,22,22,0,2024-08-02T01:49:41+00:00
38,32,31,0,2024-08-02T01:52:50+00:00
41,21,11,8,2024-08-02T01:56:36+00:00
48,32,32,0,2024-08-02T01:53:16+00:00
52,21,5,16,2024-08-02T01:57:26+00:00
58,25,24,0,2024-08-02T01:52:52+00:00
61,40,34,2,2024-08-02T01:56:29+00:00
65,27,25,1,2024-08-02T01:49:55+00:00
73,16,9,7,2024-08-02T01:58:23+00:00
78,17,10,6,2024-08-02T01:52:47+00:00
79,20,10,9,2024-08-02T01:54:18+00:00
94,25,20,4,2024-08-02T01:49:17+00:00
102,19,14,5,2024-08-02T01:57:31+00:00
104,18,0,18,2024-08-02T01:49:15+00:00
108,20,8,12,2024-08-02T01:53:18+00:00
110,18,18,0,2024-08-02T01:54:45+00:00
112,20,5,14,2024-08-02T01:49:19+00:00
117,20,0,16,2024-08-02T01:52:17+00:00
127,15,8,7,2024-08-02T01:52:57+00:00
141,18,0,18,2024-08-02T01:56:24+00:00
146,20,0,17,2024-08-02T01:53:15+00:00
155,20,0,20,2024-08-02T01:50:16+00:00
156,18,1,16,2024-08-02T01:51:16+00:00
162,17,5,12,2024-08-02T01:49:39+00:00
167,18,0,16,2024-08-02T01:52:20+00:00
168,20,5,6,2024-08-02T01:53:16+00:00
172,20,13,7,2024-08-02T01:50:35+00:00
174,19,0,18,2024-08-02T01:51:29+00:00
179,17,7,10,2024-08-02T01:53:49+00:00
183,18,0,18,2024-08-02T01:58:24+00:00
186,18,17,0,2024-08-02T01:53:29+00:00
191,18,0,16,2024-08-02T01:56:22+00:00
192,20,5,15,2024-08-02T01:56:56+00:00
201,18,4,14,2024-08-02T01:49:48+00:00
202,17,7,9,2024-08-02T01:56:51+00:00
204,18,1,16,2024-08-02T01:49:17+00:00
210,18,8,10,2024-08-02T01:57:16+00:00
211,18,14,4,2024-08-02T01:55:47+00:00
213,17,17,0,2024-08-02T01:51:11+00:00
214,17,17,0,2024-08-02T01:49:15+00:00
219,18,0,18,2024-08-02T01:54:18+00:00
221,20,1,19,2024-08-02T01:55:55+00:00
222,20,16,2,2024-08-02T01:49:11+00:00
225,20,10,10,2024-08-02T01:50:28+00:00
227,32,30,2,2024-08-02T01:52:16+00:00
230,20,14,5,2024-08-02T01:57:18+00:00
235,19,15,4,2024-08-02T01:50:17+00:00
238,17,0,17,2024-08-02T01:52:51+00:00
240,18,3,15,2024-08-02T01:55:14+00:00
250,18,0,18,2024-08-02T01:58:54+00:00
253,20,7,11,2024-08-02T01:58:18+00:00
255,16,10,6,2024-08-02T01:49:52+00:00
258,18,18,0,2024-08-02T01:53:47+00:00
275,17,1,16,2024-08-02T01:58:54+00:00
278,18,15,3,2024-08-02T01:53:16+00:00
279,18,10,7,2024-08-02T01:55:21+00:00
285,18,11,7,2024-08-02T01:57:54+00:00
288,36,32,1,2024-08-02T01:57:08+00:00
339,13,11,0,2024-08-02T01:50:15+00:00
359,13,0,0,2024-08-02T01:55:56+00:00
368,13,12,0,2024-08-02T01:58:23+00:00
369,13,13,0,2024-08-02T01:56:16+00:00
381,13,13,0,2024-08-02T01:53:18+00:00
390,13,0,0,2024-08-02T01:55:15+00:00
