number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,19,0,2024-07-30T19:58:45+00:00
1,19,19,0,2024-07-30T20:59:02+00:00
1,19,19,0,2024-07-30T22:50:18+00:00
1,19,19,0,2024-07-30T21:59:51+00:00
1,19,19,0,2024-07-30T17:57:39+00:00
1,19,17,2,2024-07-30T18:58:08+00:00
3,18,15,1,2024-07-30T19:52:03+00:00
3,18,16,1,2024-07-30T22:54:17+00:00
3,18,12,4,2024-07-30T18:59:03+00:00
3,18,15,2,2024-07-30T20:59:04+00:00
3,18,16,1,2024-07-30T21:53:34+00:00
3,18,15,1,2024-07-30T17:53:26+00:00
17,23,23,0,2024-07-30T22:56:31+00:00
17,23,20,3,2024-07-30T20:57:59+00:00
17,23,6,17,2024-07-30T18:53:40+00:00
17,23,16,7,2024-07-30T19:54:27+00:00
17,23,22,1,2024-07-30T21:55:54+00:00
17,23,4,19,2024-07-30T17:58:28+00:00
21,25,24,0,2024-07-30T03:58:18+00:00
23,26,22,4,2024-07-30T19:49:08+00:00
23,26,23,3,2024-07-30T20:59:04+00:00
23,26,23,3,2024-07-30T18:58:36+00:00
23,26,26,0,2024-07-30T22:00:28+00:00
23,26,26,0,2024-07-30T22:51:01+00:00
23,26,25,1,2024-07-30T17:57:57+00:00
24,22,10,10,2024-07-30T18:50:00+00:00
24,22,11,9,2024-07-30T19:50:31+00:00
24,22,13,7,2024-07-30T20:51:06+00:00
24,22,17,3,2024-07-30T22:52:19+00:00
24,22,12,8,2024-07-30T21:58:10+00:00
24,22,8,12,2024-07-30T17:57:37+00:00
26,22,20,0,2024-07-30T18:51:48+00:00
26,22,18,2,2024-07-30T19:52:22+00:00
26,22,20,0,2024-07-30T20:53:47+00:00
26,22,18,2,2024-07-30T22:54:08+00:00
26,22,18,2,2024-07-30T21:53:31+00:00
26,22,20,0,2024-07-30T17:52:52+00:00
27,22,7,15,2024-07-30T19:52:37+00:00
27,22,6,16,2024-07-30T18:51:56+00:00
27,22,9,13,2024-07-30T22:55:48+00:00
27,22,7,15,2024-07-30T20:53:13+00:00
27,22,9,13,2024-07-30T21:58:14+00:00
27,22,7,15,2024-07-30T17:53:43+00:00
34,22,21,1,2024-07-30T18:57:26+00:00
34,22,21,1,2024-07-30T19:57:57+00:00
34,22,21,1,2024-07-30T20:58:33+00:00
34,22,21,1,2024-07-30T21:59:05+00:00
34,22,22,0,2024-07-30T22:49:33+00:00
34,22,21,1,2024-07-30T17:57:27+00:00
35,25,23,0,2024-07-30T21:59:31+00:00
35,25,23,0,2024-07-30T22:49:58+00:00
35,25,23,1,2024-07-30T19:57:40+00:00
35,25,23,1,2024-07-30T20:58:41+00:00
35,25,23,1,2024-07-30T18:58:59+00:00
35,25,20,4,2024-07-30T17:55:40+00:00
38,32,28,1,2024-07-30T20:56:01+00:00
38,32,26,3,2024-07-30T18:58:17+00:00
38,32,27,3,2024-07-30T19:55:18+00:00
38,32,29,0,2024-07-30T22:57:24+00:00
38,32,27,2,2024-07-30T21:56:41+00:00
38,32,27,3,2024-07-30T17:59:00+00:00
41,21,17,2,2024-07-30T21:59:22+00:00
41,21,19,0,2024-07-30T19:58:08+00:00
41,21,19,0,2024-07-30T18:57:36+00:00
41,21,18,1,2024-07-30T20:58:44+00:00
41,21,18,1,2024-07-30T22:50:01+00:00
41,21,19,0,2024-07-30T17:56:40+00:00
48,32,27,5,2024-07-30T22:00:10+00:00
48,32,26,6,2024-07-30T22:57:37+00:00
48,32,27,5,2024-07-30T19:56:08+00:00
48,32,23,9,2024-07-30T18:55:04+00:00
48,32,28,4,2024-07-30T20:58:13+00:00
48,32,28,4,2024-07-30T17:55:34+00:00
58,25,22,2,2024-07-30T22:49:24+00:00
58,25,24,0,2024-07-30T19:57:06+00:00
58,25,24,0,2024-07-30T21:58:26+00:00
58,25,24,0,2024-07-30T20:57:51+00:00
58,25,24,0,2024-07-30T18:56:31+00:00
58,25,23,1,2024-07-30T17:55:25+00:00
61,40,38,0,2024-07-30T18:50:38+00:00
61,40,34,4,2024-07-30T22:58:45+00:00
61,40,38,0,2024-07-30T21:52:36+00:00
61,40,35,3,2024-07-30T19:56:12+00:00
61,40,38,0,2024-07-30T20:51:58+00:00
61,40,36,2,2024-07-30T17:58:39+00:00
65,27,25,2,2024-07-30T18:51:43+00:00
65,27,24,3,2024-07-30T19:52:17+00:00
65,27,24,3,2024-07-30T21:59:44+00:00
65,27,25,2,2024-07-30T20:52:54+00:00
65,27,25,2,2024-07-30T17:50:55+00:00
65,27,24,3,2024-07-30T22:50:13+00:00
67,22,20,2,2024-07-30T18:57:30+00:00
67,22,21,1,2024-07-30T19:57:59+00:00
67,22,19,3,2024-07-30T22:49:44+00:00
67,22,21,1,2024-07-30T20:58:34+00:00
67,22,21,1,2024-07-30T21:59:09+00:00
67,22,20,2,2024-07-30T17:49:20+00:00
69,18,16,1,2024-07-30T18:49:14+00:00
69,18,16,1,2024-07-30T19:53:37+00:00
69,18,16,1,2024-07-30T22:56:41+00:00
69,18,17,0,2024-07-30T20:50:30+00:00
69,18,16,1,2024-07-30T21:51:06+00:00
69,18,15,2,2024-07-30T17:58:40+00:00
73,16,4,12,2024-07-30T22:51:08+00:00
73,16,4,12,2024-07-30T20:49:42+00:00
73,16,2,14,2024-07-30T22:00:24+00:00
73,16,7,9,2024-07-30T18:58:42+00:00
73,16,4,12,2024-07-30T19:49:12+00:00
73,16,5,11,2024-07-30T17:58:03+00:00
78,17,3,13,2024-07-30T18:57:58+00:00
78,17,3,13,2024-07-30T22:54:44+00:00
78,17,1,15,2024-07-30T19:58:22+00:00
78,17,1,15,2024-07-30T21:59:06+00:00
78,17,1,15,2024-07-30T20:55:08+00:00
78,17,4,12,2024-07-30T17:56:06+00:00
79,20,0,20,2024-07-30T19:55:10+00:00
79,20,7,13,2024-07-30T22:57:04+00:00
79,20,5,15,2024-07-30T20:55:48+00:00
79,20,6,14,2024-07-30T21:56:24+00:00
79,20,0,20,2024-07-30T18:55:20+00:00
79,20,2,18,2024-07-30T17:57:32+00:00
80,23,1,22,2024-07-30T04:06:21+00:00
89,22,20,2,2024-07-30T19:54:53+00:00
89,22,15,7,2024-07-30T22:58:45+00:00
89,22,20,2,2024-07-30T21:56:35+00:00
89,22,17,5,2024-07-30T18:59:06+00:00
89,22,20,2,2024-07-30T20:55:51+00:00
89,22,11,11,2024-07-30T17:56:47+00:00
94,25,19,5,2024-07-30T20:55:04+00:00
94,25,20,4,2024-07-30T21:58:07+00:00
94,25,9,15,2024-07-30T19:54:18+00:00
94,25,23,1,2024-07-30T22:57:07+00:00
94,25,7,17,2024-07-30T18:56:26+00:00
94,25,9,15,2024-07-30T17:55:05+00:00
102,19,0,19,2024-07-30T22:58:31+00:00
102,19,7,12,2024-07-30T18:56:20+00:00
102,19,2,17,2024-07-30T19:52:58+00:00
102,19,0,19,2024-07-30T21:52:56+00:00
102,19,0,19,2024-07-30T20:52:20+00:00
102,19,4,15,2024-07-30T17:53:14+00:00
104,18,9,9,2024-07-30T18:58:38+00:00
104,18,7,11,2024-07-30T20:49:36+00:00
104,18,7,11,2024-07-30T22:50:41+00:00
104,18,7,11,2024-07-30T22:00:14+00:00
104,18,8,10,2024-07-30T19:49:05+00:00
104,18,8,10,2024-07-30T17:58:06+00:00
108,20,18,2,2024-07-30T19:54:18+00:00
108,20,20,0,2024-07-30T22:56:04+00:00
108,20,18,2,2024-07-30T21:55:29+00:00
108,20,18,2,2024-07-30T20:54:54+00:00
108,20,19,1,2024-07-30T18:53:45+00:00
108,20,19,1,2024-07-30T17:52:47+00:00
110,18,14,4,2024-07-30T22:01:05+00:00
110,18,4,14,2024-07-30T18:55:47+00:00
110,18,13,5,2024-07-30T20:53:44+00:00
110,18,14,4,2024-07-30T22:50:56+00:00
110,18,11,7,2024-07-30T19:56:31+00:00
110,18,9,9,2024-07-30T17:54:51+00:00
112,20,19,0,2024-07-30T18:49:58+00:00
112,20,19,0,2024-07-30T22:56:04+00:00
112,20,19,0,2024-07-30T21:51:38+00:00
112,20,19,0,2024-07-30T19:50:32+00:00
112,20,19,0,2024-07-30T20:51:04+00:00
112,20,19,0,2024-07-30T17:59:06+00:00
117,20,0,19,2024-07-30T22:54:47+00:00
117,20,0,19,2024-07-30T21:54:14+00:00
117,20,4,15,2024-07-30T20:56:01+00:00
117,20,4,14,2024-07-30T18:52:28+00:00
117,20,7,11,2024-07-30T19:53:07+00:00
117,20,5,13,2024-07-30T17:53:44+00:00
127,15,0,15,2024-07-30T20:54:04+00:00
127,15,1,14,2024-07-30T18:52:58+00:00
127,15,0,15,2024-07-30T19:53:32+00:00
127,15,0,15,2024-07-30T21:54:34+00:00
127,15,0,15,2024-07-30T22:56:31+00:00
127,15,2,13,2024-07-30T17:52:27+00:00
141,18,7,11,2024-07-30T22:58:10+00:00
141,18,10,8,2024-07-30T18:55:56+00:00
141,18,9,9,2024-07-30T20:57:04+00:00
141,18,9,9,2024-07-30T19:56:31+00:00
141,18,8,10,2024-07-30T21:57:37+00:00
141,18,9,9,2024-07-30T17:55:20+00:00
146,20,4,14,2024-07-30T18:55:18+00:00
146,20,0,18,2024-07-30T21:57:34+00:00
146,20,0,18,2024-07-30T22:54:32+00:00
146,20,3,15,2024-07-30T19:56:04+00:00
146,20,1,17,2024-07-30T20:56:53+00:00
146,20,4,15,2024-07-30T17:54:14+00:00
153,18,2,14,2024-07-30T22:56:10+00:00
153,18,0,16,2024-07-30T21:55:34+00:00
153,18,1,15,2024-07-30T20:55:00+00:00
153,18,4,13,2024-07-30T18:53:42+00:00
153,18,4,12,2024-07-30T19:56:05+00:00
153,18,7,10,2024-07-30T17:54:13+00:00
155,20,6,14,2024-07-30T19:52:25+00:00
155,20,0,20,2024-07-30T22:54:30+00:00
155,20,5,15,2024-07-30T18:52:51+00:00
155,20,6,14,2024-07-30T20:53:14+00:00
155,20,2,18,2024-07-30T21:54:45+00:00
155,20,2,18,2024-07-30T17:51:02+00:00
156,18,7,11,2024-07-30T22:57:51+00:00
156,18,7,11,2024-07-30T18:54:18+00:00
156,18,9,9,2024-07-30T21:57:43+00:00
156,18,8,9,2024-07-30T20:58:23+00:00
156,18,8,10,2024-07-30T19:56:05+00:00
156,18,9,9,2024-07-30T17:54:12+00:00
162,17,1,16,2024-07-30T18:57:09+00:00
162,17,2,15,2024-07-30T21:53:38+00:00
162,17,0,17,2024-07-30T20:50:54+00:00
162,17,3,14,2024-07-30T19:50:13+00:00
162,17,0,17,2024-07-30T22:52:13+00:00
162,17,2,15,2024-07-30T17:58:38+00:00
167,18,7,11,2024-07-30T19:53:51+00:00
167,18,2,16,2024-07-30T22:55:33+00:00
167,18,7,11,2024-07-30T20:54:24+00:00
167,18,6,12,2024-07-30T21:54:58+00:00
167,18,8,10,2024-07-30T18:53:11+00:00
167,18,9,9,2024-07-30T17:52:10+00:00
168,20,15,5,2024-07-30T21:54:36+00:00
168,20,17,3,2024-07-30T20:54:04+00:00
168,20,17,3,2024-07-30T18:56:47+00:00
168,20,14,6,2024-07-30T22:55:08+00:00
168,20,17,3,2024-07-30T19:53:25+00:00
168,20,18,2,2024-07-30T17:52:18+00:00
172,20,18,2,2024-07-30T20:49:08+00:00
172,20,17,3,2024-07-30T19:58:36+00:00
172,20,17,3,2024-07-30T22:50:19+00:00
172,20,19,1,2024-07-30T21:59:49+00:00
172,20,18,2,2024-07-30T17:57:01+00:00
172,20,18,2,2024-07-30T18:58:00+00:00
174,19,2,16,2024-07-30T18:58:24+00:00
174,19,3,15,2024-07-30T22:00:36+00:00
174,19,1,17,2024-07-30T22:51:06+00:00
174,19,3,15,2024-07-30T20:54:18+00:00
174,19,2,16,2024-07-30T19:51:32+00:00
174,19,2,16,2024-07-30T17:57:48+00:00
179,17,12,5,2024-07-30T18:50:39+00:00
179,17,14,3,2024-07-30T20:52:11+00:00
179,17,16,1,2024-07-30T22:53:25+00:00
179,17,13,4,2024-07-30T19:51:38+00:00
179,17,15,2,2024-07-30T21:52:48+00:00
179,17,12,5,2024-07-30T17:49:29+00:00
183,18,0,18,2024-07-30T22:50:36+00:00
183,18,0,18,2024-07-30T20:56:07+00:00
183,18,1,17,2024-07-30T19:59:01+00:00
183,18,0,18,2024-07-30T22:00:06+00:00
183,18,2,16,2024-07-30T18:58:29+00:00
183,18,3,15,2024-07-30T17:57:46+00:00
189,20,1,19,2024-07-30T18:52:29+00:00
189,20,3,17,2024-07-30T20:53:42+00:00
189,20,3,17,2024-07-30T21:54:18+00:00
189,20,2,18,2024-07-30T19:53:04+00:00
189,20,1,19,2024-07-30T22:55:01+00:00
189,20,4,16,2024-07-30T17:52:40+00:00
191,18,12,5,2024-07-30T19:56:32+00:00
191,18,6,11,2024-07-30T18:55:54+00:00
191,18,12,5,2024-07-30T20:57:05+00:00
191,18,8,9,2024-07-30T22:58:13+00:00
191,18,10,7,2024-07-30T21:57:38+00:00
191,18,3,14,2024-07-30T17:55:16+00:00
192,20,6,14,2024-07-30T21:58:12+00:00
192,20,7,13,2024-07-30T18:56:31+00:00
192,20,7,13,2024-07-30T19:57:05+00:00
192,20,6,14,2024-07-30T22:58:45+00:00
192,20,7,13,2024-07-30T20:57:38+00:00
192,20,7,13,2024-07-30T17:55:58+00:00
201,18,6,11,2024-07-30T21:53:53+00:00
201,18,5,12,2024-07-30T18:56:33+00:00
201,18,5,12,2024-07-30T20:53:13+00:00
201,18,1,16,2024-07-30T22:54:42+00:00
201,18,5,12,2024-07-30T19:52:38+00:00
201,18,3,14,2024-07-30T17:54:32+00:00
202,17,8,9,2024-07-30T19:50:56+00:00
202,17,3,14,2024-07-30T21:52:11+00:00
202,17,7,10,2024-07-30T20:51:29+00:00
202,17,8,9,2024-07-30T18:50:51+00:00
202,17,4,13,2024-07-30T22:52:47+00:00
202,17,8,9,2024-07-30T17:56:42+00:00
204,18,3,14,2024-07-30T18:55:51+00:00
204,18,0,17,2024-07-30T22:51:53+00:00
204,18,0,17,2024-07-30T20:52:23+00:00
204,18,1,16,2024-07-30T19:50:15+00:00
204,18,0,17,2024-07-30T21:51:21+00:00
204,18,1,16,2024-07-30T17:59:06+00:00
210,18,9,9,2024-07-30T19:58:17+00:00
210,18,8,10,2024-07-30T22:54:29+00:00
210,18,9,9,2024-07-30T20:58:51+00:00
210,18,8,10,2024-07-30T21:59:32+00:00
210,18,9,9,2024-07-30T18:57:43+00:00
210,18,9,9,2024-07-30T17:56:44+00:00
211,18,11,7,2024-07-30T18:55:56+00:00
211,18,11,7,2024-07-30T20:56:59+00:00
211,18,11,7,2024-07-30T19:56:27+00:00
211,18,11,7,2024-07-30T21:57:32+00:00
211,18,11,7,2024-07-30T17:54:59+00:00
211,18,11,7,2024-07-30T22:58:05+00:00
213,17,17,0,2024-07-30T18:51:01+00:00
213,17,17,0,2024-07-30T20:55:44+00:00
213,17,17,0,2024-07-30T22:46:55+00:00
213,17,17,0,2024-07-30T21:56:20+00:00
213,17,17,0,2024-07-30T19:51:36+00:00
213,17,17,0,2024-07-30T17:22:02+00:00
214,17,17,0,2024-07-30T20:50:55+00:00
214,17,17,0,2024-07-30T18:49:52+00:00
214,17,17,0,2024-07-30T19:50:23+00:00
214,17,17,0,2024-07-30T22:52:00+00:00
214,17,17,0,2024-07-30T21:51:27+00:00
214,17,16,1,2024-07-30T17:58:57+00:00
219,18,0,18,2024-07-30T18:50:49+00:00
219,18,0,18,2024-07-30T21:54:49+00:00
219,18,0,18,2024-07-30T22:55:23+00:00
219,18,0,18,2024-07-30T20:55:29+00:00
219,18,0,18,2024-07-30T19:53:43+00:00
219,18,1,17,2024-07-30T17:50:13+00:00
221,20,5,15,2024-07-30T18:55:26+00:00
221,20,3,17,2024-07-30T22:58:39+00:00
221,20,3,17,2024-07-30T21:57:58+00:00
221,20,4,16,2024-07-30T20:56:36+00:00
221,20,4,16,2024-07-30T19:56:01+00:00
221,20,6,14,2024-07-30T17:54:48+00:00
222,20,17,2,2024-07-30T22:52:35+00:00
222,20,17,2,2024-07-30T20:51:13+00:00
