number,bike_stands,available_bike_stands,available_bikes,last_update
1,19,19,0,2024-07-31T01:56:24+00:00
1,19,19,0,2024-07-31T04:58:07+00:00
1,19,14,5,2024-07-31T16:58:23+00:00
1,19,19,0,2024-07-31T03:57:34+00:00
1,19,19,0,2024-07-31T19:49:26+00:00
1,19,19,0,2024-07-31T20:50:10+00:00
1,19,19,0,2024-07-31T22:00:49+00:00
1,19,4,15,2024-07-31T15:58:54+00:00
1,19,17,2,2024-07-31T06:50:35+00:00
1,19,6,13,2024-07-31T08:50:39+00:00
1,19,15,4,2024-07-31T18:58:54+00:00
1,19,18,1,2024-07-31T05:58:39+00:00
1,19,18,1,2024-07-31T17:58:09+00:00
1,19,5,14,2024-07-31T10:58:40+00:00
1,19,19,0,2024-07-31T22:51:18+00:00
1,19,5,14,2024-07-31T14:58:49+00:00
1,19,19,0,2024-07-31T02:56:58+00:00
1,19,6,13,2024-07-31T07:56:34+00:00
1,19,2,17,2024-07-31T12:55:04+00:00
1,19,1,18,2024-07-31T09:58:56+00:00
1,19,1,18,2024-07-31T11:54:05+00:00
1,19,19,0,2024-07-31T00:51:21+00:00
1,19,4,15,2024-07-31T13:58:33+00:00
1,19,19,0,2024-07-30T22:50:18+00:00
3,18,0,17,2024-07-31T09:54:06+00:00
3,18,17,0,2024-07-31T02:49:03+00:00
3,18,5,12,2024-07-31T11:58:28+00:00
3,18,8,8,2024-07-31T16:58:19+00:00
3,18,16,1,2024-07-31T03:49:39+00:00
3,18,8,9,2024-07-31T13:57:26+00:00
3,18,17,0,2024-07-31T20:53:58+00:00
3,18,9,8,2024-07-31T14:58:18+00:00
3,18,11,6,2024-07-31T15:58:33+00:00
3,18,14,3,2024-07-31T18:52:36+00:00
3,18,17,0,2024-07-31T19:53:16+00:00
3,18,5,12,2024-07-31T12:56:39+00:00
3,18,17,0,2024-07-31T04:53:10+00:00
3,18,6,11,2024-07-31T10:56:49+00:00
3,18,13,4,2024-07-31T05:58:19+00:00
3,18,16,1,2024-07-31T22:55:24+00:00
3,18,17,0,2024-07-31T00:55:45+00:00
3,18,2,15,2024-07-31T08:58:24+00:00
3,18,17,0,2024-07-31T21:54:45+00:00
3,18,16,1,2024-07-31T17:56:49+00:00
3,18,7,10,2024-07-31T06:54:12+00:00
3,18,1,16,2024-07-31T07:58:30+00:00
3,18,16,1,2024-07-30T22:54:17+00:00
3,18,17,0,2024-07-31T01:58:34+00:00
17,23,1,22,2024-07-31T17:52:17+00:00
17,23,22,1,2024-07-31T02:52:44+00:00
17,23,23,0,2024-07-31T21:55:04+00:00
17,23,22,1,2024-07-31T05:56:58+00:00
17,23,21,2,2024-07-31T03:53:16+00:00
17,23,3,20,2024-07-31T16:56:59+00:00
17,23,21,2,2024-07-31T04:53:48+00:00
17,23,11,12,2024-07-31T19:53:42+00:00
17,23,13,10,2024-07-31T09:56:46+00:00
